"","state","district_id","cand_id","incumbent","party","primary_votes","primary_percent","runoff_votes","runoff_percent","general_votes","general_percent","won","footnotes","cand_name","cand_ici","pty_cd","cand_pty_affiliation","ttl_receipts","trans_from_auth","ttl_disb","trans_to_auth","coh_bop","coh_cop","cand_contrib","cand_loans","other_loans","cand_loan_repay","other_loan_repay","debts_owed_by","ttl_indiv_contrib","cand_office_st","cand_office_district","other_pol_cmte_contrib","pol_pty_contrib","cvg_end_dt","indiv_refunds","cmte_refunds"
"19","AS","00","H4AS00036",TRUE,"REP",NA,NA,NA,NA,8923,0.754013858374176,TRUE,NA,"AMATA, AUMUA","I",2,"REP",78278.3,0,75562.51,0,0.8,2099.17,0,0,0,0,0,0,42820.35,"AS","00",13457.95,22000,2016-12-31,0,0
"20","AS","00","H6AS00031",FALSE,"DEM",NA,NA,NA,NA,1581,0.133598107148893,FALSE,NA,"HUNKIN-FINAU, VAITINASA SALU",NA,1,"DEM",41670,0,38167.44,0,1058.44,4561,12900,0,0,0,0,0,20555,"AS",NA,0,8215,2016-10-19,0,0
"21","AS","00","H4AS00069",FALSE,"DEM",NA,NA,NA,NA,978,0.0826432313672469,FALSE,NA,"JAMIAS, MAPU S.","C",1,"DEM",11803,0,8243,0,0,0,2603,0,0,0,0,0,9200,"AS","00",0,0,2016-11-28,0,0
"22","AZ","01","H6AZ01199",FALSE,"DEM",30833,0.587687029448204,NA,NA,142219,0.506640304941042,TRUE,NA,"O'HALLERAN, TOM","O",1,"DEM",1605996.95,0,1588705.07,8875,0,17291.88,9354.44,0,0,0,0,72634.9,1075474.05,"AZ","01",509650,9999.23,2016-12-31,7808.66,0
"23","AZ","01","H2AZ04127",FALSE,"REP",19533,0.308208154506438,NA,NA,121745,0.433703822450216,FALSE,NA,"BABEU, PAUL RAYMOND","O",2,"REP",1294238.74,5191.75,1293719.68,0,0,519.06,0,0,0,0,0,0,1080639.69,"AZ","01",187808.5,7200,2016-12-31,8213,0
"24","AZ","01","H4AZ01145",FALSE,"REP",14854,0.234378944710932,NA,NA,NA,NA,FALSE,NA,"KIEHNE, GARY","O",2,"REP",1125977.68,0,1131166.01,0,5188.33,0,71363.4,752072.14,0,270000,0,250000,296654.17,"AZ","01",5700,0,2016-12-31,83450,0
"25","AZ","01","H2AZ09035",FALSE,"REP",14222,0.22440671547589,NA,NA,NA,NA,FALSE,NA,"ROGERS, WENDY","O",2,"REP",498297.01,0,547273.31,0,53966.09,4989.79,0,0,0,0,0,0,482707.13,"AZ","01",2500,0,2016-12-31,55450,0
"26","AZ","01","H6AZ01173",FALSE,"REP",10578,0.166908608937137,NA,NA,NA,NA,FALSE,NA,"BENNETT, KEN","O",2,"REP",463873.44,0,463077,0,0,796.44,10876,70000,0,0,0,70000,376997.1,"AZ","01",6000,0,2016-12-31,28980.62,0
"27","AZ","01","H6AZ01207",FALSE,"REP",2098,0.033104014137844,NA,NA,NA,NA,FALSE,NA,"REDD, SHAWN MR.","O",2,"REP",38049,0,36953,0,638,1734,0,35324,0,0,0,35324,2725,"AZ","01",0,0,2016-08-10,0,0
"28","AZ","01","H6AZ01215",FALSE,"REP",2091,0.0329935622317597,NA,NA,NA,NA,FALSE,NA,"GOWAN , DAVID MATTHEW SR","O",2,"REP",407463.03,0,394294.84,1000,0,13168.19,0,0,0,0,0,5000,332963.03,"AZ","01",74500,0,2016-12-31,0,0
"29","AZ","02","H2AZ08102",TRUE,"REP",69378,1,NA,NA,179806,0.569584926460107,TRUE,NA,"MCSALLY, MARTHA E. MS.","I",2,"REP",7878156.18,353431.15,8004418.35,0,468505.92,342243.75,0,0,0,0,0,327833.26,5975189.77,"AZ","02",1436880.62,5000,2016-12-31,116121.4,6200
"30","AZ","02","H6AZ02171",FALSE,"DEM",28658,0.472319736299959,NA,NA,NA,NA,FALSE,NA,"STEELE, VICTORIA L","C",1,"DEM",246846.83,0,226509.24,0,0,21311.82,1736.6,2000,1855.68,2000,1855.68,0,230119.44,"AZ","02",7500,0,2016-12-31,1100,0
"31","AZ","03","H2AZ07070",TRUE,"DEM",35844,1,NA,NA,148973,0.986347535339491,TRUE,NA,"GRIJALVA, RAUL M","I",1,"DEM",664591.65,0,642529.38,0,36088.02,58150.29,0,0,0,0,0,4015.59,338021.58,"AZ","03",322203.49,0,2016-12-31,1793.5,1000
"32","AZ","04","H0AZ01259",TRUE,"REP",64947,0.714189887615738,NA,NA,203487,0.714533522015008,TRUE,NA,"GOSAR, PAUL DR.","I",2,"REP",707653.4,0,712872.46,2000,112812.09,107593.03,0,0,0,0,0,0,415940.54,"AZ","04",291410.45,0,2016-12-31,2600,2500
"33","AZ","04","H6AZ04177",FALSE,"REP",25991,0.285810112384262,NA,NA,NA,NA,FALSE,NA,"STRAUSS, RAYMOND JOHN","C",2,"REP",111269.03,0,111269.03,0,0,0,3305.06,0,0,0,0,0,101923.14,"AZ","04",5750,0,2016-09-21,1000,0
"34","AZ","04","H2AZ04143",FALSE,"DEM",24097,0.99797067837323,NA,NA,81296,0.285466477984992,FALSE,NA,"WEISSER, MIKEL","C",1,"DEM",36043.62,0,35258.96,0,2719.03,3503.69,0,500,0,0,0,19513.87,35293.62,"AZ","04",250,0,2016-12-31,0,0
"35","AZ","05","H6AZ05083",FALSE,"REP",25244,0.294934105991214,NA,NA,205184,0.640951631242893,TRUE,NA,"BIGGS, ANDY","O",2,"REP",995666.43,0,947069.35,0,0,48597.08,0,150000,0,0,0,317301.02,452132.13,"AZ","05",227400.5,0,2016-12-31,0,1000
"36","AZ","05","H6AZ05125",FALSE,"REP",25217,0.294618655949154,NA,NA,NA,NA,FALSE,NA,"JONES, CHRISTINE","O",2,"REP",3774123.42,0,3771348.77,0,0,2774.65,1794853.74,1905853.74,0,1655853.74,0,250000,50915.94,"AZ","05",22500,0,2016-12-31,5400,0
"37","AZ","05","H6AZ05117",FALSE,"REP",17745,0.20732077764277,NA,NA,NA,NA,FALSE,NA,"STAPLEY, DONALD T","O",2,"REP",512692.28,0,512692.28,0,0,0,0,250000,0,2643.58,0,247356.42,259692,"AZ","05",3000,0,2016-10-15,8100,0
"38","AZ","05","H6AZ05091",FALSE,"REP",17386,0.203126460416861,NA,NA,NA,NA,FALSE,NA,"OLSON, JUSTIN","O",2,"REP",153355.81,0,152652.58,0,0,703.23,25,1e+05,0,0,0,1e+05,48050.12,"AZ","05",4500,0,2016-12-31,200,0
"39","AZ","05","H6AZ05133",FALSE,"DEM",16408,0.654461329823302,NA,NA,114940,0.359048368757107,FALSE,NA,"FUENTES, TALIA","O",1,"DEM",18657.82,0,18649.88,0,0,7.94,600,0,0,0,0,0,15057.82,"AZ","05",500,2500,2016-12-31,0,0
"40","AZ","06","H4AZ06045",TRUE,"REP",63378,0.803137632582718,NA,NA,201578,0.621302905894392,TRUE,NA,"SCHWEIKERT, DAVID","I",2,"REP",797747.29,270220.29,806820.62,0,37475.5,28402.17,0,0,0,210000,0,132918.62,184977,"AZ","06",342550,0,2016-12-31,0,0
"41","AZ","06","H2AZ05132",FALSE,"DEM",17561,0.588229382997253,NA,NA,122866,0.378697094105608,FALSE,NA,"WILLIAMSON, WALTER JOHN","C",1,"DEM",6470.77,0,6623.91,0,352.56,163.42,0,4642,0,0,0,12231.41,1828.77,"AZ","06",0,0,2016-12-31,0,0
"42","AZ","07","H4AZ07043",TRUE,"DEM",29705,1,NA,NA,119465,0.752246380918198,TRUE,NA,"GALLEGO, RUBEN","I",1,"DEM",1093477.4,0,734379.24,0,24162.63,383260.79,0,0,0,0,0,2500,568901.24,"AZ","07",519361.49,22.94,2016-12-31,5185.47,0
"43","AZ","07","H6AZ07030",FALSE,"REP",10912,1,NA,NA,39286,0.247375811499203,FALSE,NA,"NUNEZ, EVANGELINE MARTINEZ","C",2,"REP",33620.36,0,32120.36,0,0,0,2700,0,0,0,0,0,23911.26,"AZ","07",5000,2000,2016-12-31,0,0
"44","AZ","08","H4AZ04024",TRUE,"REP",59042,0.710630205575081,NA,NA,204942,0.68549123493583,TRUE,NA,"FRANKS, TRENT","I",2,"REP",362299.08,0,360898.55,0,6049.44,7449.97,0,0,0,95000,0,81100,147498,"AZ","08",214100,0,2016-12-31,735,0
"45","AZ","09","H2AZ09019",TRUE,"DEM",38948,1,NA,NA,169055,0.609191840205833,TRUE,NA,"SINEMA, KYRSTEN","I",1,"DEM",4402181.31,101537.77,2441662.77,0,303114.76,2263633.3,0,0,0,0,0,0,2232184.28,"AZ","09",1862584.06,5097.16,2016-12-31,31024.88,4500.01
"46","AZ","09","H6AZ09010",FALSE,"REP",25963,0.606895745675549,NA,NA,108350,0.390440601498341,FALSE,NA,"GILES, DAVID VICTOR","C",2,"REP",273769.71,0,273722.04,100,0,47.67,0,259078.5,0,21171.18,0,242521.99,14691.21,"AZ","09",0,0,2016-12-31,0,0
"47","AZ","09","H6AZ09036",FALSE,"REP",16817,0.393104254324451,NA,NA,NA,NA,FALSE,NA,"AGRA, JOHN","C",2,"REP",108766,0,116971.51,0,10000,1794.49,0,0,0,0,0,10000,108196,"AZ","09",0,0,2016-12-31,55902,0
"48","AR","01","H0AR01083",TRUE,"REP",NA,NA,NA,NA,183866,0.762780702518596,TRUE,NA,"CRAWFORD, ERIC ALAN RICK","I",2,"REP",669501.96,0,808955.49,0,398030.53,258577,0,0,0,0,0,0,261228.63,"AR","01",407500,683.25,2016-12-31,0,0
"49","AR","02","H4AR02141",TRUE,"REP",86474,0.845422104902967,NA,NA,176472,0.583447947524333,TRUE,NA,"HILL, JAMES FRENCH","I",2,"REP",2240181.57,51237.12,1640764.53,0,49251.83,648668.87,0,0,0,0,0,0,1255061.69,"AR","02",893432.69,1250,2016-12-31,850,0
"50","AR","02","H6AR02252",FALSE,"REP",15811,0.154577895097033,NA,NA,NA,NA,FALSE,NA,"OLREE, BROCK","C",2,"REP",18454.97,0,18436.4,0,0,18.57,3006.28,15000,0,0,0,15000,448.1,"AR","02",0,0,2016-12-31,0,0
"51","AR","02","H6AR02245",FALSE,"DEM",NA,NA,NA,NA,111347,0.368133067075751,FALSE,NA,"CURRY, DIANNE","C",1,"DEM",37666.34,0,28822.83,0,0,9.42,10000,0,0,0,0,0,22935.2,"AR","02",0,1550,2016-12-31,0,0
"52","AR","03","H0AR03055",TRUE,"REP",NA,NA,NA,NA,217192,0.773181159600864,TRUE,NA,"WOMACK, STEVE","I",2,"REP",931782.13,0,568200.63,0,802234.66,1165816.16,0,0,0,0,0,0,360459.07,"AR","03",570823.06,0,2016-12-31,300,0
"53","AR","04","H4AR04048",TRUE,"REP",NA,NA,NA,NA,182885,0.74904058420947,TRUE,NA,"WESTERMAN, BRUCE MR.","I",2,"REP",716791.26,0,464458.86,0,92201.41,344533.81,0,0,0,0,0,0,337067.99,"AR","04",379710,0,2016-12-31,0,1000
"54","CA","01","H2CA02142",TRUE,"REP",86136,0.407906575869221,NA,NA,185448,0.590531021921054,TRUE,NA,"LAMALFA, DOUG","I",2,"REP",800277.02,0,808869.52,0,98168.1,89475.6,0,0,0,0,0,36616.52,399853.75,"CA","01",397575.99,0,2016-12-31,5600,0
"55","CA","01","H6CA01194",FALSE,"DEM",59665,0.282550221153027,NA,NA,128588,0.409468978078946,FALSE,NA,"REED, JAMES E","C",1,"DEM",138508.99,0,134916.57,0,0,3592.42,0,46100,0,4145,0,42386.31,75828.68,"CA","01",8200,7330,2016-12-31,0,0
"56","CA","01","H6CA01186",FALSE,"REP",35875,0.169890039116146,NA,NA,NA,NA,FALSE,NA,"MONTES, JOSEPH","C",2,"REP",183682,0,183682,0,0,0,0,59000,0,5698.33,0,0,124678,"CA","01",0,0,2016-12-31,0,0
"57","CA","02","H2CA06259",TRUE,"DEM",157897,0.683004585171728,NA,NA,254194,0.768500994660878,TRUE,NA,"HUFFMAN, JARED","I",1,"DEM",973816.67,0,757560.62,0,384552.29,600808.34,0,0,0,0,0,192.45,559633.89,"CA","02",409486.48,50,2016-12-31,10530,0
"58","CA","02","H4CA02098",FALSE,"REP",36187,0.15653170689506,NA,NA,76572,0.231499005339122,FALSE,NA,"MENSING, DALE KENNETH","C",2,"REP",4587,0,4228,0,38,393,18,0,0,869,0,0,3898,"CA","02",0,217,2016-12-31,0,0
"59","CA","02","H6CA02234",FALSE,"DEM",20998,0.0908296565446838,NA,NA,NA,NA,FALSE,NA,"SCHRODE, ERIN AZARIA","C",1,"DEM",58283.5,0,59079.55,0,0,-26515.78,0,0,0,0,0,0,58076.5,"CA","02",0,207,2016-12-09,0,0
"60","CA","03","H0CA10149",TRUE,"DEM",98430,0.631074808298925,NA,NA,152513,0.593514317069184,TRUE,NA,"GARAMENDI, JOHN","I",1,"DEM",1145846.45,0,879539.66,0,177459.14,443765.93,0,0,0,0,0,0,508626.22,"CA","03",634307.37,329.99,2016-12-31,3300,375
"61","CA","03","H6CA03117",FALSE,"REP",37843,0.242626881748006,NA,NA,104453,0.406485682930816,FALSE,NA,"CLEEK, N EUGENE MD","C",2,"REP",382004.01,2500,380024.03,0,0,1979.98,911.16,210000,0,0,0,212199.15,163542.85,"CA","03",0,5000,2016-12-31,0,0
"62","CA","03","H6CA03125",FALSE,"REP",19699,0.126298309953069,NA,NA,NA,NA,FALSE,NA,"DETERT, RYAN","C",2,"REP",10325.81,0,10325.81,0,0,0,0,8843.22,0,879.89,0,0,1482.59,"CA","03",0,0,2016-06-30,0,0
"63","CA","04","H8CA04152",TRUE,"REP",135626,0.614637904468413,NA,NA,220133,0.627198855768738,TRUE,NA,"MCCLINTOCK, THOMAS","I",2,"REP",1058570.56,0,1000517.91,0,217098.69,275176.34,0,0,0,0,0,6552.44,922464.55,"CA","04",135094.45,0,2016-12-31,18200,0
"64","CA","04","H6CA04156",FALSE,"DEM",60574,0.274512825160881,NA,NA,130845,0.372801144231262,FALSE,NA,"DERLET, ROBERT WAYNE","C",1,"DEM",105527.33,0,90885.98,0,0,14641.35,1000,0,0,0,0,0,81248.55,"CA","04",19850.16,2300,2016-12-31,322,0
"65","CA","05","H8CA01109",TRUE,"DEM",124634,0.6570023352539,NA,NA,224526,0.768685101560815,TRUE,NA,"THOMPSON, MIKE MR.","I",1,"DEM",2057128.82,0,2015932.06,0,1476181.68,1517378.44,0,0,0,0,0,8827.23,762704.33,"CA","05",1270995.03,61.97,2016-12-31,3380,671
"66","CA","05","H6CA05336",FALSE,"REP",36430,0.192039050927512,NA,NA,67565,0.231314898439185,FALSE,NA,"SANTAMARIA, CARLOS J","C",2,"REP",2700,0,2700,0,0,0,0,0,0,0,0,0,2700,"CA","05",0,0,2016-11-28,0,0
"67","CA","05","H6CA05344",FALSE,"DEM",23639,0.124611889236219,NA,NA,NA,NA,FALSE,NA,"PALSSON, NILS","C",1,"DEM",10240.59,0,10240.59,0,0,0,0,0,0,0,0,0,10240.59,"CA","05",0,0,2016-09-30,0,0
"68","CA","06","H6CA05195",TRUE,"DEM",99599,0.703810223723448,NA,NA,177565,0.754270155004184,TRUE,NA,"MATSUI, DORIS","I",1,"DEM",1103289.27,0,1003549.57,0,275234.01,374973.71,0,0,0,0,0,1400,282549.16,"CA","06",820479.5,61.95,2016-12-31,0,0
"69","CA","06","H6CA06227",FALSE,"REP",26000,0.183727405062397,NA,NA,57848,0.245729844995816,FALSE,NA,"EVANS, ROBERT S","C",2,"REP",2905,0,2805,0,0,100,0,100,0,0,0,0,2805,"CA","06",0,0,2016-11-28,0,0
"70","CA","07","H0CA03078",TRUE,"DEM",93506,0.540041352384693,NA,NA,152133,0.511713717747334,TRUE,NA,"BERA, AMERISH","I",1,"DEM",4172935.83,2039.21,4192531.21,0,152506.33,132910.95,4591.42,0,0,27000,0,297800,2680204.38,"CA","07",1406340.82,19363.16,2016-12-31,39807.39,26500
"71","CA","07","H6CA07126",FALSE,"REP",79640,0.459958647615307,NA,NA,145168,0.488286282252667,FALSE,NA,"JONES, SCOTT","C",2,"REP",1362661.26,73652.64,1355340.14,0,0,7296.12,0,0,0,0,0,6801.64,945823.22,"CA","07",325084.93,17789.31,2016-12-31,7331,500
"72","CA","08","H2CA08164",TRUE,"REP",50425,0.419938872556776,NA,NA,136972,0.622580190630298,TRUE,NA,"COOK, PAUL","I",2,"REP",944657.62,0,909665.99,0,536222.64,571214.27,0,0,0,0,0,0,338410,"CA","08",603841.19,0,2016-12-31,7450,0
"73","CA","08","H8CA41139",FALSE,"DEM",26325,0.219234324641688,NA,NA,83035,0.377419809369702,FALSE,NA,"DR RITA RAMIREZ","C",1,"DEM",35743.12,0,31604.31,0,0,4138.81,0,30102.04,0,0,0,30102.04,5361.08,"CA","08",0,280,2016-10-19,0,0
"74","CA","08","H6CA08207",FALSE,"REP",24886,0.207250347693563,NA,NA,NA,NA,FALSE,NA,"DONNELLY, TIM","C",2,"REP",89883.21,0,89883.21,0,0,0,9723.55,0,0,0,0,0,78470.15,"CA","08",1500,0,2016-08-17,4000,0
"75","CA","09","H4CA11081",TRUE,"DEM",71634,0.552701628770051,NA,NA,133163,0.573595227326571,TRUE,NA,"MCNERNEY, JERRY","I",1,"DEM",1217897.4,0,1154434.25,0,147013.31,210476.46,0,0,0,0,0,2954.15,730858.38,"CA","09",484674.56,132.12,2016-12-31,1100,0
"76","CA","09","H0CA11337",FALSE,"REP",28161,0.217279930867932,NA,NA,98992,0.426404772673429,FALSE,NA,"AMADOR, ANTONIO C","C",2,"REP",65366.84,0,67038.68,0,1671.84,0,17197.84,0,0,4000,0,0,47971,"CA","09",198,0,2016-12-31,0,0
"77","CA","09","H6CA09098",FALSE,"REP",24783,0.191216523798869,NA,NA,NA,NA,FALSE,NA,"NANCE, KATHRYN D","C",2,"REP",68709.37,0,68609.37,0,0,100,0,100,0,0,0,0,64007.01,"CA","09",4599,0,2016-11-28,0,0
"78","CA","10","H0CA19173",TRUE,"REP",61290,0.47730299278088,NA,NA,124671,0.51700457408736,TRUE,NA,"DENHAM, JEFF","I",2,"REP",3345326.67,210630.37,4183054.63,0,1164430.33,326702.36,0,0,0,0,0,4847.04,1075103.32,"CA","10",2053896.36,0,2016-12-31,5900,1000
"79","CA","10","H4CA10075",FALSE,"DEM",35413,0.275782850111752,NA,NA,116470,0.48299542591264,FALSE,NA,"EGGMAN, MICHAEL RAY","C",1,"DEM",1639589.92,16038.75,1586983.34,0,3088.7,55695.28,0,0,0,0,0,7383.37,1195080.49,"CA","10",375444.76,5000,2016-12-31,3959.28,7742.88
"80","CA","10","H2CA00096",FALSE,"DEM",18576,0.144662757283368,NA,NA,NA,NA,FALSE,NA,"BARKLEY, MICHAEL JAMES","C",1,"DEM",45981.77,0,45887.12,0,580.82,-32074.07,0,45393.79,0,0,0,32465.54,82.6,"CA","10",0,2.23,2016-12-31,0,0
"81","CA","11","H0CA10073",TRUE,"DEM",133317,0.753326816258031,NA,NA,214868,0.720528220140908,TRUE,NA,"DESAULNIER, MARK","I",1,"DEM",629490.86,0,425816.84,0,20826.27,224500.29,0,0,0,0,0,0,323974.34,"CA","11",302230,8.67,2016-12-31,0,1000
"82","CA","11","H6CA11169",FALSE,"REP",43654,0.246673183741969,NA,NA,83341,0.279471779859092,FALSE,NA,"PETERSEN, ROGER","C",2,"REP",8789.5,0,7789.5,0,0,1000,0,1000,0,742.62,0,0,7789.5,"CA","11",0,0,2016-11-28,0,0
"83","CA","12","H8CA05035",TRUE,"DEM",169537,0.781125312151565,NA,NA,274035,0.808732606353938,TRUE,NA,"PELOSI, NANCY","I",1,"DEM",4416893.49,273100,3577235.57,0,981159.93,1820817.85,0,0,0,0,0,0,2953425.38,"CA","12",1182854.27,0,2016-12-31,95334.43,0
"84","CA","12","H6CA12175",FALSE,"NOP",16633,0.0766349370167986,NA,NA,64810,0.191267393646062,FALSE,NA,"PICUS, PRESTON","C",3,"IND",28479.57,0,19544.26,0,0,-2432.08,0,0,0,0,0,0,28479.57,"CA","12",0,0,2016-11-28,216,0
"85","CA","12","H6CA12183",FALSE,"REP",16583,0.0764045668580275,NA,NA,NA,NA,FALSE,NA,"MILLER, ROBERT","C",2,"REP",10905.38,0,10905.38,0,0,0,0,5622.38,0,90,0,0,5283,"CA","12",0,0,2016-06-30,0,0
"86","CA","12","H4CA12089",FALSE,"GRE",14289,0.0658351839736088,NA,NA,NA,NA,FALSE,NA,"HERMANSON, BARRY","C",3,"GRE",8958.83,0,8958.83,0,0,0,2500,6258.83,0,1528.47,0,1258.83,200,"CA","12",0,0,2016-12-31,0,0
"87","CA","13","H8CA09060",TRUE,"DEM",192227,0.919548422588438,NA,NA,293117,0.907845548222045,TRUE,NA,"LEE, BARBARA","I",1,"DEM",1328822.47,0,1374381.11,0,83690.6,38131.96,0,0,0,0,0,4401.75,994434.51,"CA","13",330440,0,2016-12-31,8187,0
"88","CA","13","H6CA13140",FALSE,"REP",16818,0.0804515774115621,NA,NA,29754,0.0921544517779547,FALSE,NA,"CARO, SUZANNE M","C",2,"REP",4521,0,4521,0,0,0,1471,0,0,0,0,0,3050,"CA","13",0,0,2016-11-28,0,0
"89","CA","14","H8CA12171",TRUE,"DEM",144719,0.990418768264223,NA,NA,231630,0.808631265120598,TRUE,NA,"SPEIER, JACKIE","I",1,"DEM",874657.21,0,609007.1,0,1277243.56,1542893.67,0,0,0,0,0,9800.31,507649.83,"CA","14",360754.7,32.13,2016-12-31,500,0
"90","CA","14","H6CA14114",FALSE,"W(R)/R",1400,0.009581231735777,NA,NA,54817,0.191368734879402,FALSE,NA,"CARDENAS, ANGEL","C",2,"REP",4140.06,0,4140.06,75.93,0,0,0,35,0,35,0,0,4105.06,"CA","14",0,0,2016-11-12,0,0
"91","CA","15","H2CA15094",TRUE,"DEM",110803,0.765029171125764,NA,NA,198578,0.737667953208988,TRUE,NA,"SWALWELL, ERIC MICHAEL","I",1,"DEM",1986833.43,4439.87,1370215.24,250,397504.81,1014123,0,0,0,0,0,0,1152727.12,"CA","15",803172.37,32.14,2016-12-31,24855,0
"92","CA","15","H6CA15152",FALSE,"REP",34032,0.234970828874236,NA,NA,70619,0.262332046791012,FALSE,NA,"TURNER, DANNY REID","C",2,"REP",632.75,0,632.75,0,0,0,0,100,0,0,0,100,532.75,"CA","15",0,0,2016-11-10,0,0
