	Unnamed: 0	rate	views	length	ratings
528	1284	4.4	8127	600	15
529	1287	5.0	5408	69	22
530	1292	5.0	499	273	1
531	1293	5.0	7523	232	12
532	1298	5.0	856	110	1
533	1299	4.94	44234	102	140
534	1300	5.0	2566	306	5
535	1301	0.0	65	492	0
536	1302	4.82	49849	193	130
537	1307	5.0	5123	164	10
538	1308	4.95	10194	57	42
539	1311	5.0	346	189	1
540	1312	4.82	8551	194	34
541	1313	4.67	3539	156	3
542	1314	5.0	18406	56	42
543	1317	5.0	3881	57	7
544	1318	4.25	18598	61	153
545	1319	5.0	3712	270	16
546	1322	3.33	220	84	6
547	1325	4.0	811	117	4
548	1328	4.5	2161	55	36
549	1329	4.95	4537	142	63
550	1334	5.0	248	230	2
551	1335	1.0	193	63	1
552	1336	4.63	28586	147	141
553	1337	4.56	7109	55	36
554	1348	0.0	65	167	0
555	1349	1.8	140	82	5
556	1356	4.2	2165	478	5
557	1357	1.0	106	148	1
558	1358	0.0	418	24	0
559	1365	5.0	1057	117	1
560	1376	4.53	2470	180	17
561	1379	0.0	1261	90	0
562	1386	4.67	281	348	3
563	1387	3.4	569	18	5
564	1390	3.67	613	122	3
565	1391	5.0	1847	212	4
566	1392	5.0	166	109	1
567	1397	2.67	322	240	6
568	1400	4.91	27714	185	22
569	1405	5.0	75	105	1
570	1412	5.0	1373	194	6
571	1427	5.0	188	65	2
572	1428	5.0	172	71	4
573	1429	5.0	257	67	5
574	1430	5.0	848	31	2
575	1431	0.0	99	45	0
576	1432	5.0	61	54	1
577	1433	5.0	521	126	4
578	1434	5.0	118	22	1
579	1437	5.0	138	257	2
580	1438	5.0	181	67	4
581	1441	4.0	262	74	4
582	1448	0.0	81	68	0
583	1457	4.56	670	112	9
584	1462	3.0	351	185	2
585	1465	5.0	356	111	1
586	1466	1.0	145	52	3
587	1467	0.0	11	19	0
588	1472	0.0	195	51	0
589	1475	4.98	24264	393	64
590	1476	5.0	303	34	4
591	1477	0.0	43	44	0
592	1480	4.85	21927	96	91
593	1481	4.67	14744	174	61
594	1488	4.69	868	105	13
595	1491	4.85	4312	656	66
596	1492	4.75	3525	606	16
597	1493	2.33	302	22	3
598	1496	5.0	169	658	4
599	1499	5.0	123	179	4
600	1500	4.6	818	179	5
601	1503	3.0	2440	83	4
602	1504	4.81	4203	656	62
603	1505	4.67	218	657	3
604	1514	5.0	489	99	4
605	1515	4.27	2484	72	15
606	1516	5.0	450	305	1
607	1517	5.0	4503	265	14
608	1518	5.0	1959	132	5
609	1521	5.0	474	513	1
610	1522	5.0	1272	306	9
611	1523	5.0	3432	132	5
612	1526	0.0	98	42	0
613	1527	4.33	853	525	6
614	1528	4.67	1191	502	6
615	1529	5.0	910	355	3
616	1530	5.0	1080	284	2
617	1531	5.0	573	360	1
618	1532	4.1	5626	187	21
619	1533	4.94	3712	272	16
620	1534	0.0	52	72	0
621	1535	4.83	1716	354	6
622	1536	5.0	1274	44	14
623	1537	5.0	1326	78	3
624	1538	0.0	762	5	0
625	1539	4.83	9005	72	41
626	1540	4.67	2065	72	12
627	1547	5.0	244	72	6
628	1550	0.0	105	44	0
629	1553	5.0	551	305	8
630	1554	5.0	654	299	2
631	1555	4.62	1532	474	34
632	1556	3.75	1617	117	12
633	1557	3.57	1041	120	14
634	1558	4.67	1695	275	12
635	1559	4.33	1638	15	6
636	1560	4.3	1984	100	10
637	1561	4.46	808	19	13
638	1562	5.0	2033	126	8
639	1563	5.0	619	596	4
640	1564	4.63	1381	182	27
641	1565	4.87	20460	601	83
642	1566	3.9	2024	113	10
643	1567	3.0	496	191	2
644	1568	4.12	3115	543	17
645	1569	4.94	3629	179	18
646	1570	5.0	477	25	1
647	1571	3.0	2052	56	9
648	1572	4.6	3652	586	10
649	1573	4.83	11852	187	58
650	1574	0.0	42	55	0
651	1575	4.52	4232	272	25
652	1576	5.0	150	481	2
653	1577	4.78	2131	149	23
654	1580	0.0	115	487	0
655	1581	4.38	2155	149	8
656	1582	4.86	448	543	7
657	1583	0.0	94	92	0
658	1584	0.0	106	68	0
659	1589	3.33	597	81	3
660	1590	5.0	378	429	2
661	1591	5.0	396	290	2
662	1592	5.0	668	84	2
663	1593	5.0	301	176	2
664	1594	4.67	626	124	3
665	1595	4.83	38952	543	125
666	1596	4.67	1577	64	3
667	1597	5.0	2362	534	8
668	1598	4.15	2506	189	13
669	1599	4.95	2633	657	38
670	1600	5.0	357	76	3
671	1601	4.67	765	39	12
672	1604	5.0	304	188	3
673	1606	4.83	1260	49	6
674	1607	0.0	84	40	0
675	1610	0.0	123	136	0
676	1611	0.0	52	39	0
677	1612	0.0	66	40	0
678	1618	5.0	1004	277	6
679	1619	1.0	157	272	1
680	1620	3.75	261	287	4
681	1621	0.0	17	287	0
682	1622	0.0	16	287	0
683	1623	5.0	574	276	5
684	1624	0.0	54	287	0
685	1625	5.0	490	278	3
686	1626	5.0	279	287	2
687	1627	4.84	19107	287	122
688	1628	4.9	5918	224	81
689	1629	5.0	722	284	5
690	1630	4.89	3780	198	38
691	1631	5.0	5129	16	9
692	1632	4.56	27825	12	9
693	1633	4.2	294	17	5
694	1634	4.58	15825	156	12
695	1635	0.0	271	97	0
696	1636	4.6	7764	88	10
697	1637	4.8	5512	83	5
698	1638	4.33	4066	228	12
699	1639	5.0	8190	37	5
700	1640	5.0	891	252	1
701	1641	0.0	66	93	0
702	1642	4.33	2481	16	6
703	1643	4.89	9453	92	36
704	1644	2.57	5282	258	7
705	1645	4.85	7453	504	39
706	1650	4.88	6373	252	17
707	1651	5.0	11835	149	14
708	1652	5.0	77	577	1
709	1653	5.0	567	575	3
710	1660	4.56	598	157	18
711	1667	0.0	216	48	0
712	1668	5.0	8840	146	13
713	1669	5.0	1280	77	3
714	1670	5.0	1940	231	1
715	1675	5.0	2861	112	3
716	1676	5.0	2982	332	3
717	1677	5.0	5499	28	8
718	1678	4.8	3152	20	10
719	1679	5.0	1519	149	1
720	1680	2.33	333	155	3
721	1681	4.11	1475	238	9
722	1682	5.0	353	148	1
723	1683	4.73	3290	149	11
724	1684	4.64	1219	228	11
725	1685	5.0	1806	17	6
726	1686	3.0	604	20	2
727	1687	5.0	304	149	2
728	1688	5.0	2043	16	7
729	1689	0.0	759	17	0
730	1690	0.0	282	8	0
731	1691	4.0	800	10	2
732	1692	0.0	143	17	0
733	1693	0.0	350	9	0
734	1694	1.5	267	34	2
735	1695	5.0	960	221	1
736	1696	0.0	29	15	0
737	1697	0.0	18	19	0
738	1698	0.0	46	9	0
739	1699	4.94	7537	9	16
740	1700	4.75	24117	228	51
741	1701	5.0	562	252	1
742	1702	4.2	1576	600	5
743	1703	5.0	530	228	2
744	1704	5.0	205	245	1
745	1705	5.0	245	228	2
746	1706	0.0	160	245	0
747	1717	0.0	117	8	0
748	1722	4.33	4433	191	12
749	1723	5.0	2349	118	4
750	1724	4.55	1378	228	11
751	1726	4.68	5993	196	28
752	1727	4.44	3217	265	18
753	1728	0.0	242	27	0
754	1731	4.92	2061	388	13
755	1732	4.57	2690	199	7
756	1735	3.62	6074	444	16
757	1736	2.96	3777	276	24
758	1739	2.34	3836	161	65
759	1744	4.05	43819	600	185
760	1745	2.0	201	35	1
761	1746	4.37	7664	514	19
762	1747	4.5	3996	116	10
763	1748	0.0	93	81	0
764	1749	0.0	290	65	0
765	1750	4.67	2724	174	6
766	1751	0.0	93	24	0
767	1752	0.0	193	55	0
768	1755	5.0	593	67	3
769	1756	5.0	392	35	3
770	1757	0.0	231	36	0
771	1758	0.0	1728	86	0
772	1759	0.0	1535	23	0
773	1760	0.0	2814	446	0
774	1761	0.0	3444	308	0
775	1762	0.0	1627	88	0
776	1763	0.0	2582	258	0
777	1764	0.0	3608	29	0
778	1765	0.0	548	43	0
779	1766	0.0	1063	39	0
780	1767	0.0	2620	30	0
781	1768	0.0	2357	22	0
782	1769	0.0	935	30	0
783	1770	0.0	3365	29	0
784	1771	0.0	1200	29	0
785	1772	0.0	927	23	0
786	1773	0.0	949	48	0
787	1776	4.56	1587	93	9
788	1777	4.91	11612	191	74
789	1778	3.44	14493	106	36
790	1779	3.68	6219	43	19
791	1780	4.09	2513	85	22
792	1781	3.5	340	34	2
793	1782	3.25	1900	96	8
794	1785	0.0	183	100	0
795	1786	2.8	20341	82	147
796	1797	4.86	169	53	14
797	1798	5.0	535	413	4
798	1801	5.0	644	510	1
799	1812	5.0	484	383	1
800	1815	3.0	1790	380	7
801	1816	4.55	3102	205	11
802	1817	3.67	964	269	3
803	1818	0.0	67	122	0
804	1819	4.5	276	303	2
805	1824	4.82	1201	139	22
806	1825	4.33	626	136	18
807	1826	4.7	5166	149	54
808	1827	3.67	4342	60	15
809	1828	5.0	1183	55	29
810	1829	5.0	387	20	13
811	1830	4.8	441	112	15
812	1835	3.57	10759	194	44
813	1836	4.76	611	209	17
814	1839	4.1	2575	43	62
815	1840	5.0	101	40	3
816	1843	4.48	10939	226	69
817	1844	5.0	273	360	1
818	1845	4.0	181	67	4
819	1848	5.0	74	97	1
820	1849	5.0	86	22	1
821	1852	0.0	7	33	0
822	1853	4.81	17956	78	21
823	1854	4.5	2305	476	8
824	1855	3.78	3763	243	9
825	1856	4.5	304	122	8
826	1857	2.58	771	74	12
827	1858	3.0	794	43	2
828	1859	2.0	97	180	1
829	1860	4.38	2632	45	8
830	1861	5.0	136	244	2
831	1862	2.33	268	111	3
832	1867	4.88	9448	225	77
833	1870	4.88	13519	213	217
834	1871	4.6	11776	50	81
835	1872	4.12	1681	139	8
836	1873	4.67	28235	192	94
837	1874	4.67	9228	143	15
838	1875	5.0	304	235	1
839	1876	4.07	2038	377	14
840	1877	3.8	510	141	5
841	1878	4.65	7033	249	23
842	1879	4.79	39751	243	157
843	1880	4.88	497	387	8
844	1881	4.62	5614	169	53
845	1882	4.0	246	300	2
846	1883	5.0	2133	205	4
847	1884	4.17	667	238	12
848	1885	4.31	5920	232	16
849	1886	4.82	7304	163	22
850	1889	5.0	1148	228	3
851	1892	5.0	2867	180	12
852	1893	4.8	2003	320	5
853	1896	3.5	447	323	4
854	1897	4.33	1189	228	6
855	1900	4.25	15620	145	53
856	1903	3.57	12255	373	21
857	1904	0.0	11	18	0
858	1905	0.0	38710	47	0
859	1906	5.0	466	184	1
860	1907	4.45	11798	128	11
861	1908	3.29	1706	148	7
862	1909	5.0	204	289	6
863	1910	4.35	36602	47	34
864	1911	4.09	13872	47	23
865	1914	4.93	3946	256	14
866	1917	5.0	4139	173	6
867	1924	5.0	9034	344	12
868	1925	0.0	1417	25	0
869	1930	0.0	1316	244	0
870	1931	0.0	276	226	0
871	1932	3.38	8256	355	8
872	1933	2.78	46500	88	18
873	1934	4.79	16393	172	39
874	1935	4.45	12756	166	64
875	1936	4.0	1726	206	4
876	1937	4.79	4883	174	24
877	1938	4.92	3028	99	12
878	1939	4.56	6098	115	9
879	1940	5.0	4594	102	13
880	1941	3.19	7695	223	48
881	1942	5.0	1030	87	3
882	1943	3.5	386	228	4
883	1944	3.4	325	225	5
884	1945	5.0	157	234	3
885	1946	5.0	219	237	3
886	1947	0.0	47	205	0
887	1948	5.0	753	7	7
888	1951	4.8	1341	602	25
889	1952	2.66	8491	204	41
890	1953	5.0	261	365	1
891	1955	4.83	2388	234	23
892	1956	4.75	16166	230	87
893	1957	5.0	603	191	10
894	1958	4.33	202	135	6
895	1959	5.0	619	195	8
896	1960	4.2	74	141	5
897	1961	5.0	91	47	1
898	1962	5.0	426	206	4
899	1963	5.0	2242	196	31
900	1964	4.95	2507	228	20
901	1965	4.73	926	208	15
902	1966	4.73	1941	287	15
903	1967	4.81	12792	170	96
904	1968	4.64	4167	167	39
905	1969	0.0	126	290	0
906	1970	5.0	46	236	2
907	1971	4.83	3669	214	6
908	1972	5.0	131	230	2
909	1973	0.0	45	167	0
910	1974	4.74	2709	167	23
911	1975	3.67	3481	272	24
912	1984	4.91	719	201	11
913	1985	4.64	1466	259	11
914	1986	4.73	7188	604	142
915	1987	5.0	1786	197	23
916	1988	4.86	584	130	14
917	1989	5.0	65	252	1
918	1992	4.95	2131	234	20
919	1993	4.92	12710	196	101
920	2082	4.71	473	147	14
921	2123	0.0	39	198	0
922	2162	5.0	23	75	1
923	2195	5.0	83	118	4
924	2200	0.0	14	118	0
