"","rate","views","length","ratings"
"336",4.89,9890,604,56
"337",5,115,130,1
"338",5,236,172,2
"339",0,27,151,0
"340",5,176,13,4
"341",4.89,5034,123,19
"342",4.83,7847,238,18
"343",5,10477,196,24
"344",3.53,12428,191,15
"345",4.96,21638,180,47
"346",5,6363,187,14
"347",4.87,7031,167,23
"348",5,2345,184,5
"349",4.72,9206,189,25
"350",5,767,241,7
"351",5,984,210,2
"352",4.89,19424,246,18
"353",4.5,9285,214,18
"354",4.82,10669,213,38
"355",4.6,2989,233,5
"356",4.33,8735,119,15
"357",4.62,3729,273,8
"358",3.47,6972,160,15
"359",3,2728,235,2
"360",5,11428,315,29
"361",5,1389,210,1
"362",3.88,9515,160,17
"363",0,88,52,0
"364",3.33,29,56,3
"365",3,56,60,2
"366",5,38,95,3
"367",5,33,251,3
"368",0,22,5,0
"369",3.4,22,91,5
"370",3.67,31,73,3
"371",0,30,207,0
"372",5,46,69,1
"373",2.33,59,57,3
"374",5,86,57,1
"375",3.09,91,96,11
"376",3.33,30,52,3
"377",5,302,31,2
"378",4.84,3298,205,32
"379",4.8,1049,215,10
"380",5,564,75,2
"381",5,192,64,3
"382",5,336,39,2
"383",5,7978,320,12
"384",5,792,88,7
"385",5,523,22,2
"386",5,389,19,2
"387",4.8,590,232,5
"388",4.86,1557,217,7
"389",5,371,29,5
"390",5,457,56,1
"391",4.33,974,211,6
"392",5,179,89,1
"393",5,1075,52,5
"394",5,200,56,2
"395",0,202,21,0
"396",5,186,205,8
"397",5,177,63,5
"398",0,32,49,0
"400",0,24,85,0
"401",5,335,232,5
"402",5,37,496,1
"403",0,38,79,0
"404",4,37,18,1
"405",5,127,236,1
"406",4.5,193,91,12
"407",5,236,49,1
"408",4.58,258,250,12
"409",5,122,379,7
"410",0,673,203,0
"411",5,153,181,2
"412",0,152,18,0
"413",0,220,69,0
"414",5,69,354,1
"415",0,213,24,0
"416",0,833,7,0
"417",5,68,304,3
"418",5,128,285,4
"419",5,586,223,1
"420",0,180,17,0
"421",0,47,106,0
"422",0,338,28,0
"423",5,2640,31,4
"424",4,498,269,5
"425",4.7,12847,27,10
"426",0,85,180,0
"427",0,329,50,0
"428",5,116,12,1
"429",0,144,205,0
"430",5,76,171,1
"431",0,35,127,0
"432",4.92,25474,103,199
"433",1,419,241,1
"434",0,48,5,0
"435",4.85,8014,285,39
"436",5,17,58,1
"437",5,14,111,1
"438",5,9,59,1
"439",0,187,60,0
"440",5,18,146,1
"441",5,12,49,1
"442",5,17,13,1
"443",4.9,844,187,48
"444",5,996,80,2
"445",5,56,38,1
"446",0,530,128,0
"447",5,3555,429,26
"448",3,443,103,2
"449",5,3004,600,21
"450",4.95,3050,600,21
"451",5,2514,600,18
"452",4.95,1673,15,20
"453",4.96,2944,42,55
"454",4.98,2133,70,43
"455",4.98,989,128,52
"456",4.97,1107,124,33
"457",4.98,4136,96,61
"458",5,502,116,35
"459",5,303,70,9
"460",5,491,56,10
"461",3.44,62574,344,62
"462",4,8410,104,5
"463",5,22260,19,3
"464",4,10666,59,4
"465",5,3300,353,4
"466",4.67,13705,407,42
"467",5,7127,24,1
"468",5,1784,98,4
"469",4.17,9878,505,6
"470",0,2464,8,0
"471",1,4285,120,1
"472",4.75,13087,420,12
"473",3.6,10063,64,15
"474",0,2970,205,0
"475",2.33,1738,25,3
"476",4.45,517,454,22
"477",4.77,1760,368,94
"478",5,309,326,7
"479",4.91,1370,593,11
"480",4.79,1004,381,73
"481",4.92,2105,393,112
"482",2,86,4,4
"483",4.77,740,286,31
"484",4.77,994,206,93
"485",4.62,2488,54,37
"486",3.8,256,227,10
"487",0,31,110,0
"488",2.34,1422,616,107
"489",5,141,187,3
"490",3.89,4697,425,18
"491",4.98,1245,231,43
"492",5,517,102,11
"493",5,367,152,2
"494",4.5,261,251,8
"495",4.95,925,311,21
"496",4.8,494,225,20
"497",5,758,235,8
"498",3,410,169,6
"499",5,505,262,8
"500",4.33,791,330,6
"501",5,638,280,4
"502",5,664,270,9
"503",4.91,5279,92,45
"504",0,45,60,0
"505",5,531,233,5
"506",4.62,523,252,8
"507",5,867,253,5
"508",4.92,623,311,12
"509",4.38,637,176,8
"510",4.9,5965,195,30
"511",5,1448,34,1
"512",3,48,120,2
"513",5,108,259,3
"514",5,1350,26,20
"515",4.67,490,49,3
"516",4.69,3260,518,13
"517",5,2399,441,20
"518",5,1113,289,2
"519",5,2955,660,18
"520",5,63,652,2
"521",4.77,15302,587,31
"522",4.88,3024,762,16
"523",3,50,207,1
"524",0,213,116,0
"525",0,179,120,0
"526",4.2,2739,609,15
"527",4.86,188,626,7
"528",4,4461,297,12
"529",5,2502,174,12
"530",3.67,988,18,9
"531",0,302,45,0
"532",0,282,284,0
"533",5,3456,138,3
"534",4.63,11220,119,19
"535",4.38,6998,433,13
"536",5,13381,419,17
"537",4.5,3924,423,8
"538",5,1238,96,2
"539",4.25,2925,217,4
"540",5,1918,379,2
"541",4.33,2174,231,3
"542",5,2738,119,5
"543",3,2734,247,4
"544",4.43,12470,175,14
"545",2.9,1259,235,10
"546",3,1009,158,4
"547",0,335,31,0
"548",5,468,49,3
"549",4.67,4263,14,9
"550",5,404,225,3
"551",4.67,123848,276,24
"552",5,10807,198,5
"553",5,1385,354,5
"554",4.91,5671,448,11
"555",4.06,56552,261,17
"556",4.76,35715,650,38
"557",3.8,2765,179,5
"558",4.67,13365,199,18
"559",4.58,2159,597,12
"560",5,4054,22,2
"561",5,8278,97,13
"562",4.5,621,339,2
"563",3.05,10331,62,21
"564",3.67,11127,3,9
"565",4.67,6947,32,15
"566",4.96,7675,177,26
"567",4.67,5668,212,9
"568",4.77,11784,430,53
"569",3,1188,458,2
"570",4.75,5579,101,8
"571",4.67,1477,38,9
"572",4.83,20167,105,6
"573",1.33,2673,61,6
"574",5,2700,33,1
"575",4.94,9921,205,16
"576",5,993,171,2
"577",4.17,2247,404,6
"578",4,2723,229,6
"579",4.62,1949,291,13
"580",4.25,1307,213,8
"581",5,934,215,6
"582",4.71,4277,202,31
"583",0,159,259,0
"584",2.33,1186,519,3
"585",5,855,150,3
"586",4.56,1852,180,9
"587",4.64,2614,213,11
"588",4.96,9709,300,53
"589",5,1224,205,3
"590",5,621,204,4
"591",4.75,10954,46,4
"592",4.57,15387,279,21
"593",0,1603,63,0
"594",4.84,129451,410,196
"595",3.67,2450,56,3
"596",4.56,3195,284,9
"597",2.14,6770,639,7
"598",1,1439,28,2
"599",4,7799,389,11
"600",5,6611,15,1
"601",3,2562,64,2
"602",1.75,4432,32,4
"603",2.36,5696,455,11
"604",4.4,3399,160,10
"605",4,6101,106,11
"606",4.27,3686,124,11
"607",4.2,1272,561,5
"608",5,1540,184,4
"609",4.6,2553,137,5
"610",3.67,352,503,6
"611",3.92,595,48,13
"612",5,49,506,1
"613",5,239,272,7
"614",4.83,1397,217,29
"615",4,728,66,7
"616",3.83,198,417,6
"617",3,113,31,2
"618",3.5,360,208,6
"619",4.54,806,377,35
"620",0,136,282,0
"621",4,93,77,2
"622",3,211,32,2
"623",4.47,798,272,17
"624",3.62,1151,504,8
"625",5,396,108,3
"626",4.83,702,636,23
"627",3.67,201,306,3
"628",0,51,212,0
"629",0,35,491,0
"630",2.2,366,538,5
"631",5,87,481,2
"632",5,93,395,2
"633",0,18,399,0
"634",5,52,467,4
"635",0,51,214,0
"636",0,64,268,0
"637",5,404,76,25
"638",3.5,548,169,4
"639",0,219,283,0
"640",3.6,728,61,10
"641",4.38,928,90,26
"642",1.8,191,279,5
"643",5,2999,171,2
"644",5,352,98,1
"645",0,258,325,0
"646",0,273,222,0
"647",4,153,96,2
"648",5,168,264,2
"649",5,51,90,2
"650",4.63,17578,309,134
"651",4.23,1500,267,13
"652",4.38,2077,121,21
"653",3.93,1309,245,28
"654",5,456,374,4
"655",5,638,473,11
"656",4.65,2398,53,31
"657",1,318,187,1
"658",3,358,544,3
"659",1.36,920,407,14
"660",4.25,479,148,4
"661",4.12,635,393,8
"662",3.71,852,256,7
"663",3,361,384,2
"664",4.73,521,228,11
"665",0,96,570,0
"666",3.67,361,119,3
"667",5,655,475,14
"668",0,33,390,0
"669",3.75,427,67,4
"670",2.86,437,148,7
"671",4.3,1673,276,30
"672",3,741,209,8
"673",4.33,470,388,3
"674",4.33,2453,26,6
"675",4,985,535,7
"676",4.83,438,66,6
"677",2.67,301,129,3
"678",0,87,234,0
"679",3.17,709,118,6
"680",4.14,914,339,7
"681",0,99,384,0
"682",5,224,18,1
"683",0,54,553,0
"684",5,20,481,1
"685",5,136,75,6
"686",0,145,315,0
"687",3,420,114,2
"688",5,326,190,8
"689",1,105,602,3
"690",5,241,356,5
"691",3,241,167,2
"692",3.67,192,304,3
"693",5,302,383,14
"694",4.7,508,518,10
"695",4.33,495,106,3
"696",4.56,377,315,9
"698",4.67,517,148,6
"699",4.25,417,286,4
"700",0,77,412,0
"701",4.5,915,364,8
"702",0,1804,343,0
"703",5,222,504,1
"704",0,135,378,0
"705",3.69,61044,506,181
"706",1,170,265,5
"707",1,182,80,1
"708",3.2,635,43,10
"709",4.67,418,214,3
"710",4,178,337,6
"711",3.33,210,73,3
"712",3,447,29,2
"713",4.41,7441,232,17
"714",0,74,637,0
"715",4.67,195,293,6
"716",4.64,3866,616,11
"717",5,418,384,2
"718",4.67,486,499,3
"719",5,1775,214,9
"720",5,310,122,6
"721",5,1129,556,9
"722",0,37,210,0
"723",5,186,347,2
"724",4,34,66,1
"725",4.33,418,71,6
"726",4,539,405,4
"727",5,226,54,1
"728",3.75,269,468,4
"729",3.57,279,489,7
"730",4,380,57,8
"731",5,41,82,1
"732",5,567,105,5
"733",3.25,277,18,16
"734",4,348,17,1
"735",3.72,171,27,18
"736",5,62,276,1
"737",0,26,57,0
"738",4.5,204,96,2
"739",4.58,366,414,12
"740",0,91,60,0
"741",4.38,168,154,8
"742",4.74,577,290,19
"743",0,100,17,0
"744",0,135,55,0
"745",4.94,5087,654,105
"746",0,75,115,0
"747",0,208,34,0
"748",4.72,3564,312,18
"749",4.86,9541,256,58
"750",5,351,78,7
"751",5,289,150,20
"752",5,2529,13,4
"753",5,245,292,16
"754",5,784,203,13
"755",0,63,234,0
"756",4.96,587,325,28
"757",5,205,165,2
"758",5,122,192,5
"759",4.2,230,196,5
"760",4.57,133,248,7
"761",4.95,690,151,41
"762",4.67,10088,418,55
"763",5,310,219,2
"764",5,26,118,1
"765",0,183,210,0
"766",4.81,30509,45,47
"767",5,401,192,6
"768",5,2467,179,20
"769",4.45,4089,508,11
"770",4.88,7008,49,16
"771",4.78,99727,243,143
"772",5,320,211,3
"773",3.52,9911,98,27
"774",4.93,15589,514,46
"775",0,1279,9,0
"776",4.31,8313,411,16
"777",4.89,171434,308,391
"778",4.58,23744,343,105
"779",4.57,3889,79,7
"780",4,2561,44,7
"781",4.6,1397,220,5
"782",4.69,6206,49,13
"783",4.38,981,507,8
"784",1,88,197,2
"785",3.67,1355,400,12
"786",5,151,237,1
"787",4.2,50,194,5
"788",2.33,195,349,3
"789",0,60,337,0
"790",0,13,402,0
"791",0,63,271,0
"792",0,14,501,0
"793",0,18,108,0
"794",0,21,224,0
"795",0,18,79,0
"796",0,22,84,0
"797",5,1361,188,2
"798",4.89,28479,213,80
"799",4.8,8086,196,25
"800",5,888,207,6
"801",4.94,20962,108,54
"802",0,75,146,0
"803",3,4291,111,2
"804",5,8562,383,21
"805",4.2,2147,206,5
"806",0,4833,363,0
"807",4.64,8264,225,33
"808",4.83,2618,270,6
"809",2.75,632,162,4
"810",4,155,203,1
"811",5,109,244,1
"812",3.38,4071,362,21
"813",2.83,239,121,6
"814",1,24,79,2
"815",5,73,192,1
"816",3.23,2728,111,13
"817",5,15033,32,20
"818",5,185,171,1
"819",5,320,323,1
"820",4.8,220,361,10
"821",3,1452,335,12
"822",4.2,2995,14,49
"823",2.6,50,324,5
"824",4.94,21185,228,63
"825",5,155,213,5
"826",3.67,171,352,3
"827",4.07,1250,109,14
"828",3,513,203,2
"829",4.62,1549,289,8
"830",4.2,1565,216,5
"831",4.75,540,179,8
"832",4.85,23374,255,82
"833",4.33,2611,455,12
"834",4.86,17678,188,28
"835",4.96,2210,290,24
"836",4.5,1435,134,4
"837",5,1358,113,4
"838",5,6130,481,29
"839",5,2134,130,4
"840",5,2917,29,7
"841",4.85,7920,164,33
"842",5,2585,262,21
"843",4.5,1390,107,6
"844",5,1564,155,5
"845",5,2134,236,6
"846",4.86,3417,160,29
"847",5,2318,152,2
"848",5,2041,235,11
"849",4.69,5554,252,16
"850",0,312,254,0
"851",4.94,2549,290,16
"852",3.08,9109,180,12
"853",2.67,1296,275,12
"854",1.46,3871,41,26
"855",0,47,135,0
"856",5,19,23,1
"857",3.86,28646,113,29
"858",3,268,165,2
"859",5,1340,204,13
"860",5,1339,197,1
"861",2.78,4139,99,54
"862",5,2557,10,14
"863",5,1794,141,3
"864",4.39,7957,148,36
"865",4.71,3957,71,45
"866",4.1,18336,114,20
"867",4.78,3756,211,9
"868",4.09,3744,206,11
"869",5,1241,5,6
"870",4.89,903,79,9
"871",4.21,34690,122,33
"872",3.18,3486,121,11
"873",4.86,2146,193,14
"874",4.73,1243,128,11
"875",4.74,5095,143,19
"876",5,654,213,4
"877",5,137,246,1
"878",4.91,2521,163,11
"879",5,156,239,3
"880",4.64,6458,412,25
"881",4.77,9092,291,31
"882",5,1229,195,8
"883",4.89,66420,286,246
"884",4.83,3741,608,18
"885",4.29,1533,626,14
"886",5,1002,164,5
"887",4.93,1636,601,14
"888",3.33,280,591,3
"889",5,102,339,1
"890",3.2,13583,78,41
"891",4,75,91,2
"892",5,11782,170,20
"893",2.35,2310,599,31
"894",4.42,24374,19,12
"895",3.78,89346,87,67
"896",5,173,401,1
"897",3,2475,448,8
"898",5,233,459,3
"899",5,232,363,1
"900",4,184,267,2
"901",5,26,110,1
"902",5,157,75,1
"903",5,907,151,5
"904",4.33,242,599,3
"905",5,3199,228,9
"906",4.43,53,297,7
"907",1,206,10,1
"908",4.4,8127,600,15
"909",4,1145,392,5
"910",5,5408,69,22
"911",0,73,266,0
"912",5,242,230,1
"913",5,499,273,1
"914",5,7523,232,12
"915",4.95,5851,312,21
"916",5,917,262,1
"917",5,856,110,1
"918",4.94,44234,102,140
"919",5,2566,306,5
"920",0,65,492,0
"921",4.82,49849,193,130
"922",5,207,364,5
"923",4.6,812,386,5
"924",5,5123,164,10
"925",4.95,10194,57,42
"926",0,125,62,0
"927",5,346,189,1
"928",4.82,8551,194,34
"929",4.67,3539,156,3
"930",5,18406,56,42
"931",0,63,164,0
"932",5,3881,57,7
"933",4.25,18598,61,153
"934",5,3712,270,16
"935",4.38,34222,36,13
"936",3.33,220,84,6
"937",3.89,5737,144,18
"938",4,811,117,4
"939",4.78,5575,150,18
"940",4.5,2161,55,36
"941",4.95,4537,142,63
"942",3,213,430,1
"943",4.58,757,94,12
"944",5,248,230,2
"945",1,193,63,1
"946",4.63,28586,147,141
"947",4.56,7109,55,36
"948",3.67,382,236,3
"949",4.72,5976,397,64
"950",3.5,392,121,4
"951",4,160,131,2
"952",4,205,441,4
"953",0,65,167,0
"954",1.8,140,82,5
"955",4.5,1270,289,8
"956",4.2,247,458,5
"957",3,1673,255,6
"958",4.2,2165,478,5
"959",1,106,148,1
"960",0,418,24,0
"961",4.2,3935,105,5
"962",5,118,266,2
"963",4,154,286,1
"964",5,1057,117,1
"965",5,658,254,6
"966",4,837,124,7
"967",4.56,29258,168,9
"968",0,1338,36,0
"969",3.4,924,98,5
"970",4.53,2470,180,17
"971",5,3218,163,2
"972",0,1261,90,0
"973",4.25,11229,66,8
"974",3,4389,51,4
"975",4.95,21240,369,19
"976",4.67,281,348,3
"977",3.4,569,18,5
"978",3.5,677,245,10
"979",3.67,613,122,3
"980",5,1847,212,4
"981",5,166,109,1
"982",3.67,641,317,3
"983",1,259,440,3
"984",2.67,322,240,6
"985",5,130,538,3
"986",4.91,27714,185,22
"987",0,66,156,0
"988",0,739,80,0
"989",5,75,105,1
"990",0,20,30,0
"991",5,948,161,1
"992",5,216,267,4
"993",5,1373,194,6
"994",5,201,182,4
"995",5,117,48,2
"996",1,151,245,1
"997",4,522,195,3
"998",5,584,541,5
"999",0,46,48,0
"1000",0,16,40,0
"1001",5,188,65,2
"1002",5,172,71,4
"1003",5,257,67,5
"1004",5,848,31,2
"1005",0,99,45,0
"1006",5,61,54,1
"1007",5,521,126,4
"1008",5,118,22,1
"1009",5,524,322,1
"1010",5,138,257,2
"1011",5,181,67,4
"1012",0,107,133,0
"1013",4,262,74,4
"1014",0,73,52,0
"1015",3.67,820,496,3
"1016",0,339,17,0
"1017",0,81,68,0
"1018",0,212,261,0
"1019",5,112,182,1
"1020",3,146,539,2
"1021",4.59,11822,538,213
"1022",4.56,670,112,9
"1023",5,705,244,2
"1024",0,13,70,0
"1025",3,351,185,2
"1026",1,109,592,1
"1027",5,356,111,1
"1028",1,145,52,3
"1029",0,11,19,0
"1030",4.82,149673,282,244
"1031",0,122,303,0
"1032",0,195,51,0
"1033",0,1743,600,0
"1034",4.98,24264,393,64
"1035",5,303,34,4
"1036",0,43,44,0
"1037",4,1624,111,4
"1038",4.85,21927,96,91
"1039",4.67,14744,174,61
"1040",3.25,160098,383,122
"1041",4,713,91,2
"1042",5,174,595,1
"1043",4.69,868,105,13
"1044",5,124,122,2
"1045",4.85,4312,656,66
"1046",4.75,3525,606,16
"1047",2.33,302,22,3
"1048",5,585,187,9
"1049",5,169,658,4
"1050",4.91,2908,658,64
"1051",5,123,179,4
"1052",4.6,818,179,5
"1053",4.6,377,393,10
"1054",3,2440,83,4
"1055",4.81,4203,656,62
"1056",4.67,218,657,3
"1057",4.93,4726,658,70
"1058",4.95,5881,657,73
"1059",4,84,656,4
"1060",4.53,3047,68,32
"1061",5,489,99,4
"1062",4.27,2484,72,15
"1063",5,450,305,1
"1064",5,4503,265,14
"1065",5,1959,132,5
"1066",4.83,2865,146,6
"1067",5,474,513,1
"1068",5,1272,306,9
"1069",5,3432,132,5
"1070",4.75,1035,460,4
"1071",0,98,42,0
"1072",4.33,853,525,6
"1073",4.67,1191,502,6
"1074",5,910,355,3
"1075",5,1080,284,2
"1076",5,573,360,1
"1077",4.1,5626,187,21
"1078",4.94,3712,272,16
"1079",0,52,72,0
"1080",4.83,1716,354,6
"1081",5,1274,44,14
"1082",5,1326,78,3
"1083",0,762,5,0
"1084",4.83,9005,72,41
"1085",4.67,2065,72,12
"1086",4.93,2961,72,27
"1087",5,171,72,4
"1088",5,232,78,4
"1089",5,244,72,6
"1090",0,72,44,0
"1091",0,105,44,0
"1092",4.94,1221,72,16
"1093",5,551,305,8
"1094",5,654,299,2
"1095",4.62,1532,474,34
"1096",3.75,1617,117,12
"1097",3.57,1041,120,14
"1098",4.67,1695,275,12
"1099",4.33,1638,15,6
"1100",4.3,1984,100,10
"1101",4.46,808,19,13
"1102",5,2033,126,8
"1103",5,619,596,4
"1104",4.63,1381,182,27
"1105",4.87,20460,601,83
"1106",3.9,2024,113,10
"1107",3,496,191,2
"1108",4.12,3115,543,17
"1109",4.94,3629,179,18
"1110",5,477,25,1
"1111",3,2052,56,9
"1112",4.6,3652,586,10
"1113",4.83,11852,187,58
"1114",0,42,55,0
"1115",4.52,4232,272,25
"1116",5,150,481,2
"1117",4.78,2131,149,23
"1118",4.69,3262,402,36
"1119",0,115,487,0
"1120",4.38,2155,149,8
"1121",4.86,448,543,7
"1122",0,94,92,0
"1123",0,106,68,0
"1124",4.88,3110,484,24
"1125",4.96,3687,543,28
