"","rate","views","length","ratings"
"617",4.67,"13705","407",42
"622",4.17,"9878","505",6
"625",1,"4285","120",1
"626",4.75,"13087","420",12
"627",3.6,"10063","64",15
"628",0,"2970","205",0
"629",2.33,"1738","25",3
"632",4.77,"1760","368",94
"641",2,"86","4",4
"644",4.77,"994","206",93
"645",4.62,"2488","54",37
"648",0,"31","110",0
"649",2.34,"1422","616",107
"652",3.89,"4697","425",18
"655",5,"517","102",11
"656",5,"367","152",2
"657",4.5,"261","251",8
"658",4.95,"925","311",21
"659",4.8,"494","225",20
"660",5,"758","235",8
"661",3,"410","169",6
"662",5,"505","262",8
"663",4.33,"791","330",6
"664",5,"638","280",4
"665",5,"664","270",9
"666",4.91,"5279","92",45
"669",5,"531","233",5
"670",4.62,"523","252",8
"671",5,"867","253",5
"672",4.92,"623","311",12
"673",4.38,"637","176",8
"674",4.9,"5965","195",30
"675",5,"1448","34",1
"676",3,"48","120",2
"679",5,"1350","26",20
"680",4.67,"490","49",3
"683",5,"2399","441",20
"684",5,"1113","289",2
"685",5,"2955","660",18
"702",4,"4461","297",12
"711",5,"3456","138",3
"718",4.5,"3924","423",8
"721",4.25,"2925","217",4
"722",5,"1918","379",2
"727",3,"2734","247",4
"728",4.43,"12470","175",14
"729",2.9,"1259","235",10
"730",3,"1009","158",4
"731",0,"335","31",0
"732",5,"468","49",3
"733",4.67,"4263","14",9
"734",5,"404","225",3
"737",5,"10807","198",5
"754",5,"8278","97",13
"757",3.05,"10331","62",21
"770",4.75,"5579","101",8
"771",4.67,"1477","38",9
"776",5,"2700","33",1
"777",4.94,"9921","205",16
"780",4.17,"2247","404",6
"781",4,"2723","229",6
"786",5,"934","215",6
"787",4.71,"4277","202",31
"788",0,"159","259",0
"789",2.33,"1186","519",3
"792",4.56,"1852","180",9
"793",4.64,"2614","213",11
"794",4.96,"9709","300",53
"795",5,"1224","205",3
"796",5,"621","204",4
"797",4.75,"10954","46",4
"802",4.84,"129451","410",196
"803",3.67,"2450","56",3
"804",4.56,"3195","284",9
"805",2.14,"6770","639",7
"806",1,"1439","28",2
"807",4,"7799","389",11
"808",5,"6611","15",1
"809",3,"2562","64",2
"812",2.36,"5696","455",11
"815",4,"6101","106",11
"820",5,"1540","184",4
"883",3.6,"728","61",10
"888",5,"2999","171",2
"889",5,"352","98",1
"892",0,"273","222",0
"939",2.86,"437","148",7
"962",5,"224","18",1
"1022",4.41,"7441","232",17
"1043",4,"34","66",1
"1054",4,"380","57",8
"1055",5,"41","82",1
"1064",5,"62","276",1
"1087",4.72,"3564","312",18
"1088",4.86,"9541","256",58
"1089",5,"351","78",7
"1092",5,"2529","13",4
"1095",5,"784","203",13
"1096",0,"63","234",0
"1097",4.96,"587","325",28
"1098",5,"205","165",2
"1099",5,"122","192",5
"1100",4.2,"230","196",5
"1101",4.57,"133","248",7
"1102",4.95,"690","151",41
"1103",4.67,"10088","418",55
"1104",5,"310","219",2
"1105",5,"26","118",1
"1106",0,"183","210",0
"1107",4.81,"30509","45",47
"1108",5,"401","192",6
"1109",5,"2467","179",20
"1110",4.45,"4089","508",11
"1111",4.88,"7008","49",16
"1112",4.78,"99727","243",143
"1113",5,"320","211",3
"1114",3.52,"9911","98",27
"1115",4.93,"15589","514",46
"1116",0,"1279","9",0
"1117",4.31,"8313","411",16
"1118",4.89,"171434","308",391
"1119",4.58,"23744","343",105
"1120",4.57,"3889","79",7
"1121",4,"2561","44",7
"1122",4.6,"1397","220",5
"1123",4.69,"6206","49",13
"1124",4.38,"981","507",8
"1125",1,"88","197",2
"1126",3.67,"1355","400",12
"1127",5,"151","237",1
"1128",4.2,"50","194",5
"1129",2.33,"195","349",3
"1132",0,"13","402",0
"1147",4.89,"28479","213",80
"1152",4.94,"20962","108",54
"1155",3,"4291","111",2
"1156",5,"8562","383",21
"1159",0,"4833","363",0
"1162",4.83,"2618","270",6
"1163",2.75,"632","162",4
"1164",4,"155","203",1
"1165",5,"109","244",1
"1170",1,"24","79",2
"1171",5,"73","192",1
"1172",3.23,"2728","111",13
"1175",5,"185","171",1
"1176",5,"320","323",1
"1177",4.8,"220","361",10
"1178",3,"1452","335",12
"1179",4.2,"2995","14",49
"1180",2.6,"50","324",5
"1181",4.94,"21185","228",63
"1184",3.67,"171","352",3
"1185",4.07,"1250","109",14
"1186",3,"513","203",2
"1187",4.62,"1549","289",8
"1188",4.2,"1565","216",5
"1191",4.85,"23374","255",82
"1194",4.86,"17678","188",28
"1195",4.96,"2210","290",24
"1198",5,"1358","113",4
"1199",5,"6130","481",29
"1200",5,"2134","130",4
"1201",5,"2917","29",7
"1202",4.85,"7920","164",33
"1203",5,"2585","262",21
"1204",4.5,"1390","107",6
"1205",5,"1564","155",5
"1206",5,"2134","236",6
"1207",4.86,"3417","160",29
"1208",5,"2318","152",2
"1211",4.69,"5554","252",16
"1212",0,"312","254",0
"1213",4.94,"2549","290",16
"1214",3.08,"9109","180",12
"1215",2.67,"1296","275",12
"1216",1.46,"3871","41",26
"1217",0,"47","135",0
"1218",5,"19","23",1
"1219",3.86,"28646","113",29
"1220",3,"268","165",2
"1221",5,"1340","204",13
"1222",5,"1339","197",1
"1223",2.78,"4139","99",54
"1228",4.39,"7957","148",36
"1231",4.1,"18336","114",20
"1234",4.09,"3744","206",11
"1235",5,"1241","5",6
"1242",4.86,"2146","193",14
"1243",4.73,"1243","128",11
"1244",4.74,"5095","143",19
"1245",5,"654","213",4
"1246",5,"137","246",1
"1247",4.91,"2521","163",11
"1248",5,"156","239",3
"1249",4.64,"6458","412",25
"1250",4.77,"9092","291",31
"1251",5,"1229","195",8
"1252",4.89,"66420","286",246
"1253",4.83,"3741","608",18
"1254",4.29,"1533","626",14
"1255",5,"1002","164",5
"1256",4.93,"1636","601",14
"1257",3.33,"280","591",3
"1260",3.2,"13583","78",41
"1263",5,"11782","170",20
"1264",2.35,"2310","599",31
"1265",4.42,"24374","19",12
"1266",3.78,"89346","87",67
"1269",3,"2475","448",8
"1270",5,"233","459",3
"1271",5,"232","363",1
"1272",4,"184","267",2
"1279",4.33,"242","599",3
"1280",5,"3199","228",9
"1281",4.43,"53","297",7
"1284",4.4,"8127","600",15
"1287",5,"5408","69",22
"1292",5,"499","273",1
"1293",5,"7523","232",12
"1298",5,"856","110",1
"1299",4.94,"44234","102",140
"1300",5,"2566","306",5
"1301",0,"65","492",0
"1302",4.82,"49849","193",130
"1307",5,"5123","164",10
"1308",4.95,"10194","57",42
"1311",5,"346","189",1
"1312",4.82,"8551","194",34
"1313",4.67,"3539","156",3
"1314",5,"18406","56",42
"1317",5,"3881","57",7
"1318",4.25,"18598","61",153
"1319",5,"3712","270",16
"1322",3.33,"220","84",6
"1325",4,"811","117",4
"1328",4.5,"2161","55",36
"1329",4.95,"4537","142",63
"1334",5,"248","230",2
"1335",1,"193","63",1
"1336",4.63,"28586","147",141
"1337",4.56,"7109","55",36
"1348",0,"65","167",0
"1349",1.8,"140","82",5
"1356",4.2,"2165","478",5
"1357",1,"106","148",1
"1358",0,"418","24",0
"1365",5,"1057","117",1
"1376",4.53,"2470","180",17
"1379",0,"1261","90",0
"1386",4.67,"281","348",3
"1387",3.4,"569","18",5
"1390",3.67,"613","122",3
"1391",5,"1847","212",4
"1392",5,"166","109",1
"1397",2.67,"322","240",6
"1400",4.91,"27714","185",22
"1405",5,"75","105",1
"1412",5,"1373","194",6
"1427",5,"188","65",2
"1428",5,"172","71",4
"1429",5,"257","67",5
"1430",5,"848","31",2
"1431",0,"99","45",0
"1432",5,"61","54",1
"1433",5,"521","126",4
"1434",5,"118","22",1
"1437",5,"138","257",2
"1438",5,"181","67",4
"1441",4,"262","74",4
"1448",0,"81","68",0
"1457",4.56,"670","112",9
"1462",3,"351","185",2
"1465",5,"356","111",1
"1466",1,"145","52",3
"1467",0,"11","19",0
"1472",0,"195","51",0
"1475",4.98,"24264","393",64
"1476",5,"303","34",4
"1477",0,"43","44",0
"1480",4.85,"21927","96",91
"1481",4.67,"14744","174",61
"1488",4.69,"868","105",13
"1491",4.85,"4312","656",66
"1492",4.75,"3525","606",16
"1493",2.33,"302","22",3
"1496",5,"169","658",4
"1499",5,"123","179",4
"1500",4.6,"818","179",5
"1503",3,"2440","83",4
"1504",4.81,"4203","656",62
"1505",4.67,"218","657",3
"1514",5,"489","99",4
"1515",4.27,"2484","72",15
"1516",5,"450","305",1
"1517",5,"4503","265",14
"1518",5,"1959","132",5
"1521",5,"474","513",1
"1522",5,"1272","306",9
"1523",5,"3432","132",5
"1526",0,"98","42",0
"1527",4.33,"853","525",6
"1528",4.67,"1191","502",6
"1529",5,"910","355",3
"1530",5,"1080","284",2
"1531",5,"573","360",1
"1532",4.1,"5626","187",21
"1533",4.94,"3712","272",16
"1534",0,"52","72",0
"1535",4.83,"1716","354",6
"1536",5,"1274","44",14
"1537",5,"1326","78",3
"1538",0,"762","5",0
"1539",4.83,"9005","72",41
"1540",4.67,"2065","72",12
"1547",5,"244","72",6
"1550",0,"105","44",0
"1553",5,"551","305",8
"1554",5,"654","299",2
"1555",4.62,"1532","474",34
"1556",3.75,"1617","117",12
"1557",3.57,"1041","120",14
"1558",4.67,"1695","275",12
"1559",4.33,"1638","15",6
"1560",4.3,"1984","100",10
"1561",4.46,"808","19",13
"1562",5,"2033","126",8
"1563",5,"619","596",4
"1564",4.63,"1381","182",27
"1565",4.87,"20460","601",83
"1566",3.9,"2024","113",10
"1567",3,"496","191",2
"1568",4.12,"3115","543",17
"1569",4.94,"3629","179",18
"1570",5,"477","25",1
"1571",3,"2052","56",9
"1572",4.6,"3652","586",10
"1573",4.83,"11852","187",58
"1574",0,"42","55",0
"1575",4.52,"4232","272",25
"1576",5,"150","481",2
"1577",4.78,"2131","149",23
"1580",0,"115","487",0
"1581",4.38,"2155","149",8
"1582",4.86,"448","543",7
"1583",0,"94","92",0
"1584",0,"106","68",0
"1589",3.33,"597","81",3
"1590",5,"378","429",2
"1591",5,"396","290",2
"1592",5,"668","84",2
"1593",5,"301","176",2
"1594",4.67,"626","124",3
"1595",4.83,"38952","543",125
"1596",4.67,"1577","64",3
"1597",5,"2362","534",8
"1598",4.15,"2506","189",13
"1599",4.95,"2633","657",38
"1600",5,"357","76",3
"1601",4.67,"765","39",12
"1604",5,"304","188",3
"1606",4.83,"1260","49",6
"1607",0,"84","40",0
"1610",0,"123","136",0
"1611",0,"52","39",0
"1612",0,"66","40",0
"1618",5,"1004","277",6
"1619",1,"157","272",1
"1620",3.75,"261","287",4
"1621",0,"17","287",0
"1622",0,"16","287",0
"1623",5,"574","276",5
"1624",0,"54","287",0
"1625",5,"490","278",3
"1626",5,"279","287",2
"1627",4.84,"19107","287",122
"1628",4.9,"5918","224",81
"1629",5,"722","284",5
"1630",4.89,"3780","198",38
"1631",5,"5129","16",9
"1632",4.56,"27825","12",9
"1633",4.2,"294","17",5
"1634",4.58,"15825","156",12
"1635",0,"271","97",0
"1636",4.6,"7764","88",10
"1637",4.8,"5512","83",5
"1638",4.33,"4066","228",12
"1639",5,"8190","37",5
"1640",5,"891","252",1
"1641",0,"66","93",0
"1642",4.33,"2481","16",6
"1643",4.89,"9453","92",36
"1644",2.57,"5282","258",7
"1645",4.85,"7453","504",39
"1650",4.88,"6373","252",17
"1651",5,"11835","149",14
"1652",5,"77","577",1
"1653",5,"567","575",3
"1660",4.56,"598","157",18
"1667",0,"216","48",0
"1668",5,"8840","146",13
"1669",5,"1280","77",3
"1670",5,"1940","231",1
"1675",5,"2861","112",3
"1676",5,"2982","332",3
"1677",5,"5499","28",8
"1678",4.8,"3152","20",10
"1679",5,"1519","149",1
"1680",2.33,"333","155",3
"1681",4.11,"1475","238",9
"1682",5,"353","148",1
"1683",4.73,"3290","149",11
"1684",4.64,"1219","228",11
"1685",5,"1806","17",6
"1686",3,"604","20",2
"1687",5,"304","149",2
"1688",5,"2043","16",7
"1689",0,"759","17",0
"1690",0,"282","8",0
"1691",4,"800","10",2
"1692",0,"143","17",0
"1693",0,"350","9",0
"1694",1.5,"267","34",2
"1695",5,"960","221",1
"1696",0,"29","15",0
"1697",0,"18","19",0
"1698",0,"46","9",0
"1699",4.94,"7537","9",16
"1700",4.75,"24117","228",51
"1701",5,"562","252",1
"1702",4.2,"1576","600",5
"1703",5,"530","228",2
"1704",5,"205","245",1
"1705",5,"245","228",2
"1706",0,"160","245",0
"1717",0,"117","8",0
"1722",4.33,"4433","191",12
"1723",5,"2349","118",4
"1724",4.55,"1378","228",11
"1726",4.68,"5993","196",28
"1727",4.44,"3217","265",18
"1728",0,"242","27",0
"1731",4.92,"2061","388",13
"1732",4.57,"2690","199",7
"1735",3.62,"6074","444",16
"1736",2.96,"3777","276",24
"1739",2.34,"3836","161",65
"1744",4.05,"43819","600",185
"1745",2,"201","35",1
"1746",4.37,"7664","514",19
"1747",4.5,"3996","116",10
"1748",0,"93","81",0
"1749",0,"290","65",0
"1750",4.67,"2724","174",6
"1751",0,"93","24",0
"1752",0,"193","55",0
"1755",5,"593","67",3
"1756",5,"392","35",3
"1757",0,"231","36",0
"1758",0,"1728","86",0
"1759",0,"1535","23",0
"1760",0,"2814","446",0
"1761",0,"3444","308",0
"1762",0,"1627","88",0
"1763",0,"2582","258",0
"1764",0,"3608","29",0
"1765",0,"548","43",0
"1766",0,"1063","39",0
"1767",0,"2620","30",0
"1768",0,"2357","22",0
"1769",0,"935","30",0
"1770",0,"3365","29",0
"1771",0,"1200","29",0
"1772",0,"927","23",0
"1773",0,"949","48",0
"1776",4.56,"1587","93",9
"1777",4.91,"11612","191",74
"1778",3.44,"14493","106",36
"1779",3.68,"6219","43",19
"1780",4.09,"2513","85",22
"1781",3.5,"340","34",2
"1782",3.25,"1900","96",8
"1785",0,"183","100",0
"1786",2.8,"20341","82",147
"1797",4.86,"169","53",14
"1798",5,"535","413",4
"1801",5,"644","510",1
"1812",5,"484","383",1
"1815",3,"1790","380",7
"1816",4.55,"3102","205",11
"1817",3.67,"964","269",3
"1818",0,"67","122",0
"1819",4.5,"276","303",2
"1824",4.82,"1201","139",22
"1825",4.33,"626","136",18
"1826",4.7,"5166","149",54
"1827",3.67,"4342","60",15
"1828",5,"1183","55",29
"1829",5,"387","20",13
"1830",4.8,"441","112",15
"1835",3.57,"10759","194",44
"1836",4.76,"611","209",17
"1839",4.1,"2575","43",62
"1840",5,"101","40",3
"1843",4.48,"10939","226",69
"1844",5,"273","360",1
"1845",4,"181","67",4
"1848",5,"74","97",1
"1849",5,"86","22",1
"1852",0,"7","33",0
"1853",4.81,"17956","78",21
"1854",4.5,"2305","476",8
"1855",3.78,"3763","243",9
"1856",4.5,"304","122",8
"1857",2.58,"771","74",12
"1858",3,"794","43",2
"1859",2,"97","180",1
"1860",4.38,"2632","45",8
"1861",5,"136","244",2
"1862",2.33,"268","111",3
"1867",4.88,"9448","225",77
"1870",4.88,"13519","213",217
"1871",4.6,"11776","50",81
"1872",4.12,"1681","139",8
"1873",4.67,"28235","192",94
"1874",4.67,"9228","143",15
"1875",5,"304","235",1
"1876",4.07,"2038","377",14
"1877",3.8,"510","141",5
"1878",4.65,"7033","249",23
"1879",4.79,"39751","243",157
"1880",4.88,"497","387",8
"1881",4.62,"5614","169",53
"1882",4,"246","300",2
"1883",5,"2133","205",4
"1884",4.17,"667","238",12
"1885",4.31,"5920","232",16
"1886",4.82,"7304","163",22
"1889",5,"1148","228",3
"1892",5,"2867","180",12
"1893",4.8,"2003","320",5
"1896",3.5,"447","323",4
"1897",4.33,"1189","228",6
"1900",4.25,"15620","145",53
"1903",3.57,"12255","373",21
"1904",0,"11","18",0
"1905",0,"38710","47",0
"1906",5,"466","184",1
"1907",4.45,"11798","128",11
"1908",3.29,"1706","148",7
"1909",5,"204","289",6
"1910",4.35,"36602","47",34
"1911",4.09,"13872","47",23
"1914",4.93,"3946","256",14
"1917",5,"4139","173",6
"1924",5,"9034","344",12
"1925",0,"1417","25",0
"1930",0,"1316","244",0
"1931",0,"276","226",0
"1932",3.38,"8256","355",8
"1933",2.78,"46500","88",18
"1934",4.79,"16393","172",39
"1935",4.45,"12756","166",64
"1936",4,"1726","206",4
"1937",4.79,"4883","174",24
"1938",4.92,"3028","99",12
"1939",4.56,"6098","115",9
"1940",5,"4594","102",13
"1941",3.19,"7695","223",48
"1942",5,"1030","87",3
"1943",3.5,"386","228",4
"1944",3.4,"325","225",5
"1945",5,"157","234",3
"1946",5,"219","237",3
"1947",0,"47","205",0
"1948",5,"753","7",7
"1951",4.8,"1341","602",25
"1952",2.66,"8491","204",41
"1953",5,"261","365",1
"1955",4.83,"2388","234",23
"1956",4.75,"16166","230",87
"1957",5,"603","191",10
"1958",4.33,"202","135",6
"1959",5,"619","195",8
"1960",4.2,"74","141",5
"1961",5,"91","47",1
"1962",5,"426","206",4
"1963",5,"2242","196",31
"1964",4.95,"2507","228",20
"1965",4.73,"926","208",15
"1966",4.73,"1941","287",15
"1967",4.81,"12792","170",96
"1968",4.64,"4167","167",39
"1969",0,"126","290",0
"1970",5,"46","236",2
"1971",4.83,"3669","214",6
"1972",5,"131","230",2
"1973",0,"45","167",0
"1974",4.74,"2709","167",23
"1975",3.67,"3481","272",24
"1984",4.91,"719","201",11
"1985",4.64,"1466","259",11
"1986",4.73,"7188","604",142
"1987",5,"1786","197",23
"1988",4.86,"584","130",14
"1989",5,"65","252",1
"1992",4.95,"2131","234",20
"1993",4.92,"12710","196",101
"2082",4.71,"473","147",14
"2123",0,"39","198",0
"2162",5,"23","75",1
"2195",5,"83","118",4
"2200",0,"14","118",0
"2221",4.23,"5094","214",13
"2222",0,"285","225",0
"2223",5,"659","193",1
"2224",4.5,"3530","337",4
"2227",4.17,"5149","92",6
"2228",4.5,"427","345",2
"2229",0,"103","34",0
"2234",5,"625","200",2
"2235",0,"273","32",0
"2236",1,"750","59",2
"2237",3,"196","21",1
"2240",0,"219","180",0
"2243",4.75,"1446","224",4
"2244",4,"213","396",1
"2249",4.5,"343","225",8
"2252",2.5,"754","142",2
"2253",5,"2416","49",1
"2254",5,"3104","290",6
"2255",5,"183","7",2
"2258",4.64,"14713","114",22
"2259",3.14,"456","52",14
"2260",4,"715","103",16
"2261",3,"140","9",4
"2262",4.8,"351","108",20
"2297",3.4,"543","298",5
"2298",4.09,"6601","50",23
"2299",0,"20","298",0
"2300",0,"345","451",0
"2301",0,"23","9",0
"2302",1,"361","222",1
"2303",0,"21","1",0
"2304",4.73,"17119","28",45
"2305",4.8,"3512","256",10
"2306",4.47,"7038","188",19
"2307",4.19,"31978","298",63
"2308",0,"147","303",0
"2309",4.76,"17183","311",38
"2310",5,"559","303",2
"2311",5,"2498","306",4
"2312",4.5,"1190","215",2
"2313",0,"36","252",0
"2314",1,"334","208",1
"2315",5,"668","226",1
"2316",0,"583","215",0
"2317",3.86,"28439","296",7
"2318",5,"2784","212",6
"2319",0,"14","298",0
"2320",5,"378","212",1
"2321",4.67,"1287","298",9
"2322",5,"2023","259",8
"2323",0,"188","212",0
"2324",3,"441","305",2
"2325",0,"144","214",0
"2326",5,"672","139",5
"2327",4.2,"309","298",5
"2328",3,"99","212",2
"2329",0,"14","298",0
"2330",5,"37","298",1
"2331",0,"159","257",0
"2332",0,"12","298",0
"2333",3,"755","298",2
"2334",0,"78","187",0
"2335",3,"696","180",2
"2336",5,"155","39",1
"2337",4.3,"10855","222",30
"2338",3,"192","298",2
"2339",5,"2362","216",6
"2340",5,"611","116",2
"2341",5,"26","99",1
"2342",2.71,"511","197",7
"2343",3,"34","298",2
"2344",0,"138","298",0
"2345",0,"25","298",0
"2346",0,"68","298",0
