age,length,views,rate,ratings,comments
869,355,4540,5,8,17
811,75,5113,5,8,8
521,224,6709,4.64,22,27
491,97,7346,4.41,29,29
480,166,10359,4.89,28,20
483,122,28440,4.52,56,81
1027,285,760,0,0,8
1164,245,1531,4.6,10,11
1249,33,196,3,2,3
875,30,877,2.78,18,1
1056,565,516,5,2,0
1254,38,264,4.25,4,0
1254,65,81,5,1,1
1254,76,95,5,1,1
1111,232,13057,4.98,341,96
1254,426,59,3,2,1
1254,256,89,5,2,1
1254,141,178,4.65,23,29
1254,172,136,4.67,3,1
1254,132,58,5,4,3
1076,401,263,4.75,4,0
1254,151,261,5,3,2
1098,131,627,5,17,11
688,224,909,5,3,16
1256,335,169,5,3,2
1023,356,339,3.4,5,1
1258,652,155,5,6,3
914,297,324,3,10,10
919,123,171,3,2,0
1255,169,459,3.04,26,12
1097,370,3332,4.86,36,30
1082,51,158,0,0,0
1144,44,217,3.67,6,2
1255,169,53,0,0,0
1225,130,199,0,0,1
1209,343,175,0,0,6
1225,76,65,0,0,1
1220,246,1655,4.5,8,20
1248,19,73,5,5,0
1144,645,2477,2.93,15,16
1222,225,1844,4.71,146,136
1234,597,380,5,6,41
1220,512,464,5,6,4
1225,240,601,3.72,18,19
1253,572,2043,5,86,41
1163,336,1024,4.9,31,15
1228,319,2044,4.91,44,40
1224,110,112,5,5,1
1229,347,101,5,5,1
1161,589,158,5,7,3
1124,545,177,1,1,0
1124,101,2014,1,4,2
1119,147,137,0,0,0
1090,48,223,5,1,3
998,346,80,3.67,3,2
1226,54,4575,3.55,11,0
1126,363,1742,4.38,76,97
791,305,1129,5,3,1
1112,130,1883,3.72,18,22
1125,51,455,3,11,8
1128,117,116,2,4,1
1129,277,964,4.71,14,12
1238,58,20593,3.34,93,26
1250,210,418,3.67,3,2
1248,470,5504,3.7,61,74
1251,263,57,3.33,3,1
946,433,287,5,2,3
1252,189,214,5,8,14
1258,81,154,5,5,4
1099,392,14749,4.29,7,5
960,30,2267,5,6,0
655,276,219,5,1,0
722,121,435,5,2,6
770,65,1206,4,4,18
991,32,130,5,2,3
928,91,200,5,1,0
948,15,185,1,1,0
712,54,916,3.4,10,10
630,176,3856,3.5,4,1
479,30,1335,4,3,5
1010,40,56,1,1,0
1038,69,138,3,2,1
932,120,100,5,1,2
1071,165,558,3.4,5,5
1073,578,340,5,2,5
1055,176,1718,4.7,63,67
1038,22,110,0,0,3
1077,387,113,5,1,3
1177,45,159,3,2,1
1070,24,61,0,0,2
1179,65,142,0,0,3
1072,121,434,3,2,3
1178,87,70,0,0,1
940,10,44440,4.47,445,857
946,501,193,3,2,5
965,71,6152,4.6,52,33
1063,143,2978,4.06,18,21
1144,94,2721,4.98,55,25
866,178,46,0,0,1
1125,262,1385,4.33,24,22
1215,102,548,3.6,10,19
965,71,839,4.31,13,14
915,300,38944,4.69,786,790
984,92,309,5,2,1
965,71,594,4.43,7,10
1252,134,44,0,0,0
1252,307,18,0,0,0
1232,180,92279,4.78,130,102
1253,113,769,4.98,51,88
1255,241,493,4.92,26,24
1252,46,4146,4.64,36,176
1241,242,10718,4.5,34,49
1219,409,209,4,1,2
1216,180,248,2.33,3,0
1234,47,958,0,0,1
1232,37,4780,3.92,13,2
1228,431,290,1,1,0
1203,178,5495,4.6,10,9
1129,18,1814,1.69,58,26
1233,191,388,4,1,0
1247,42,154,0,0,1
1233,100,5472,3.9,21,9
1239,161,21,5,2,0
1233,24,1573,2,1,2
1226,21,364,0,0,2
1214,209,62,5,1,0
1230,55,2836,3.25,4,2
1226,36,663,5,2,0
1172,61,2923,3.29,7,11
1187,407,4012,4.47,17,45
1220,46,3303,3.4,5,10
1204,97,878,3,6,12
1189,75,718,5,1,11
1240,86,4667,4.11,9,4
1195,80,888,0,0,16
1245,451,681,5,4,17
1208,524,8884,3.8,5,5
1136,111,85,1,1,0
1230,195,1042,4.2,5,2
1231,286,517,5,6,3
1041,41,2802,0,0,4
1244,130,2707,3.33,3,0
1230,188,419,4.5,2,2
1226,93,1236,5,7,8
1233,180,1866,5,1,0
1241,70,1134,2,1,0
1236,178,193,0,0,0
1232,425,109,4.67,3,0
1231,27,97,0,0,0
0,134,790,4,2,1
1230,5,68,0,0,3
1231,16,181,0,0,3
1207,30,18196,3.66,47,28
1205,24,793,5,2,0
1207,39,5659,1.57,7,3
1207,19,3029,4,4,3
1205,5,3742,5,3,5
1205,127,446,0,0,0
1203,12,1237,2.33,3,1
1199,8,14215,3.91,23,10
1201,47,722,3.67,3,1
1209,18,7805,4.62,8,0
1206,47,80,0,0,1
1210,6,7167,5,3,3
1140,112,733,5,4,2
1140,394,1237,4.33,6,1
1140,4,204,4.5,2,2
1069,195,1601,4.58,19,11
1169,88,18,0,0,0
1152,92,528,4.67,3,1
1068,161,2814,4.43,21,25
1128,48,57676,4,19,7
1141,16,102,3.67,3,3
1167,270,49,0,0,0
1146,9,61,0,0,0
1079,79,140,5,2,4
1141,305,69,0,0,0
1140,200,355,5,4,0
1027,113,1180,4,10,7
1212,549,1532,0,0,9
1040,230,1897,5,10,4
1016,318,14437,4.57,23,11
967,218,537,5,1,0
621,15,13309,3.81,16,11
892,20,8548,3.35,20,6
725,4,4800,3.25,8,6
1024,78,12338,4.63,30,6
657,295,796,4.4,5,2
1024,152,12368,4.86,50,8
1024,64,3616,4.67,9,2
1017,219,16817,4.8,30,13
1058,103,299,5,1,0
776,12,5415,5,3,10
776,461,6826,5,7,15
369,30,1727,5,1,0
886,246,136731,4.69,93,58
1050,211,11035,4.85,39,22
776,347,5990,4.58,12,18
1042,519,6758,4.88,17,10
1159,264,26325,4.71,68,146
1060,659,2961,5,8,4
756,306,878,2,2,3
369,11,393,0,0,0
1056,133,3731,4.42,31,13
875,189,577,5,1,1
616,294,235777,3.78,219,143
1087,276,9649,4.58,12,11
526,294,2527,4.79,14,20
964,274,1216,0,0,0
967,190,781,0,0,1
1037,344,2981,5,9,1
1070,242,10129,4.94,31,10
1242,151,450,4.6,15,10
480,47,3257,4.69,13,6
1095,550,381,0,0,0
891,124,1392,5,6,2
902,15,452,0,0,0
813,51,924,3.4,5,1
1104,56,216,0,0,0
701,312,1284,3.43,7,4
1038,359,976,5,9,0
888,424,2529,5,4,3
1093,274,207,5,1,0
1094,406,3586,5,5,1
1189,120,38794,4.85,191,195
1190,117,3337,4.93,29,13
1190,84,8124,4.92,49,29
1200,48,1924,5,20,3
1190,124,1767,5,18,4
1183,69,4142,4.93,30,12
1207,123,13862,4.92,39,31
1198,80,2901,5,22,13
1207,79,1883,5,12,6
1204,79,3232,5,33,7
1213,243,92,5,1,0
1035,604,9890,4.89,56,37
1246,130,115,5,1,0
909,172,236,5,2,3
1249,151,27,0,0,0
1224,13,176,5,4,1
733,123,5034,4.89,19,25
1174,238,7847,4.83,18,17
1071,196,10477,5,24,20
1034,191,12428,3.53,15,6
1069,180,21638,4.96,47,40
1165,187,6363,5,14,17
1033,167,7031,4.87,23,18
1184,184,2345,5,5,2
1099,189,9206,4.72,25,29
1167,241,767,5,7,7
1159,210,984,5,2,3
685,246,19424,4.89,18,14
704,214,9285,4.5,18,28
734,213,10669,4.82,38,14
1079,233,2989,4.6,5,0
483,119,8735,4.33,15,16
998,273,3729,4.62,8,19
810,160,6972,3.47,15,13
1027,235,2728,3,2,0
916,315,11428,5,29,39
1197,210,1389,5,1,1
377,160,9515,3.88,17,12
1226,52,88,0,0,0
1226,56,29,3.33,3,0
1225,60,56,3,2,2
1219,95,38,5,3,2
1234,251,33,5,3,2
1216,5,22,0,0,0
1225,91,22,3.4,5,2
1226,73,31,3.67,3,1
1258,207,30,0,0,1
1093,69,46,5,1,0
1225,57,59,2.33,3,1
1096,57,86,5,1,1
1226,96,91,3.09,11,5
1226,52,30,3.33,3,2
1163,31,302,5,2,0
706,205,3298,4.84,32,14
627,215,1049,4.8,10,10
1159,75,564,5,2,1
1228,64,192,5,3,0
1163,39,336,5,2,1
1163,320,7978,5,12,2
1159,88,792,5,7,2
1082,22,523,5,2,1
1082,19,389,5,2,1
879,232,590,4.8,5,6
823,217,1557,4.86,7,2
1163,29,371,5,5,4
1163,56,457,5,1,2
735,211,974,4.33,6,4
1162,89,179,5,1,0
913,52,1075,5,5,2
1163,56,200,5,2,0
1082,21,202,0,0,0
1240,205,186,5,8,20
1212,63,177,5,5,5
1239,49,32,0,0,0
,,,,,
1239,85,24,0,0,0
948,232,335,5,5,5
1239,496,37,5,1,0
1240,79,38,0,0,1
1239,18,37,4,1,0
1240,236,127,5,1,1
1235,91,193,4.5,12,5
1239,49,236,5,1,1
1240,250,258,4.58,12,20
1238,379,122,5,7,8
986,203,673,0,0,5
1099,181,153,5,2,5
1170,18,152,0,0,1
968,69,220,0,0,2
1022,354,69,5,1,1
951,24,213,0,0,0
951,7,833,0,0,0
958,304,68,5,3,1
1130,285,128,5,4,13
1009,223,586,5,1,0
896,17,180,0,0,0
1048,106,47,0,0,0
593,28,338,0,0,0
942,31,2640,5,4,0
956,269,498,4,5,5
985,27,12847,4.7,10,9
1181,180,85,0,0,0
1241,50,329,0,0,4
1076,12,116,5,1,0
1232,205,144,0,0,0
1231,171,76,5,1,0
1232,127,35,0,0,0
1234,103,25474,4.92,199,477
1232,241,419,1,1,0
1164,5,48,0,0,0
1232,285,8014,4.85,39,16
1088,58,17,5,1,0
1116,111,14,5,1,0
1109,59,9,5,1,0
886,60,187,0,0,2
1116,146,18,5,1,0
1109,49,12,5,1,0
1082,13,17,5,1,0
1176,187,844,4.9,48,28
514,80,996,5,2,6
1235,38,56,5,1,1
753,128,530,0,0,1
1095,429,3555,5,26,13
1148,103,443,3,2,2
1095,600,3004,5,21,8
1095,600,3050,4.95,21,4
1095,600,2514,5,18,10
1002,15,1673,4.95,20,15
1042,42,2944,4.96,55,16
1042,70,2133,4.98,43,21
1054,128,989,4.98,52,42
948,124,1107,4.97,33,13
1198,96,4136,4.98,61,45
1073,116,502,5,35,26
1063,70,303,5,9,7
1004,56,491,5,10,3
1048,344,62574,3.44,62,638
534,104,8410,4,5,14
974,19,22260,5,3,2
631,59,10666,4,4,9
1000,353,3300,5,4,2
825,407,13705,4.67,42,13
1195,24,7127,5,1,19
1056,98,1784,5,4,1
974,505,9878,4.17,6,0
869,8,2464,0,0,2
628,120,4285,1,1,1
1057,420,13087,4.75,12,15
769,64,10063,3.6,15,6
1098,205,2970,0,0,0
603,25,1738,2.33,3,1
857,454,517,4.45,22,22
1140,368,1760,4.77,94,80
877,326,309,5,7,11
886,593,1370,4.91,11,22
1063,381,1004,4.79,73,51
1062,393,2105,4.92,112,82
1141,4,86,2,4,3
1124,286,740,4.77,31,13
1076,206,994,4.77,93,80
884,54,2488,4.62,37,41
1074,227,256,3.8,10,12
1083,110,31,0,0,2
1076,616,1422,2.34,107,99
1055,187,141,5,3,7
921,425,4697,3.89,18,11
1150,231,1245,4.98,43,7
1149,102,517,5,11,2
1147,152,367,5,2,0
1149,251,261,4.5,8,1
1153,311,925,4.95,21,16
1151,225,494,4.8,20,12
1150,235,758,5,8,4
1150,169,410,3,6,5
1152,262,505,5,8,3
1139,330,791,4.33,6,1
1150,280,638,5,4,3
1152,270,664,5,9,4
1134,92,5279,4.91,45,38
1151,60,45,0,0,0
1143,233,531,5,5,1
1150,252,523,4.62,8,5
1174,253,867,5,5,0
1154,311,623,4.92,12,7
1141,176,637,4.38,8,2
1136,195,5965,4.9,30,21
1245,34,1448,5,1,0
1253,120,48,3,2,1
1252,259,108,5,3,2
1181,26,1350,5,20,8
1246,49,490,4.67,3,6
1213,518,3260,4.69,13,9
1216,441,2399,5,20,21
1191,289,1113,5,2,3
1243,660,2955,5,18,47
1249,652,63,5,2,2
1245,587,15302,4.77,31,29
1245,762,3024,4.88,16,13
1246,207,50,3,1,0
1245,116,213,0,0,0
1249,120,179,0,0,3
1247,609,2739,4.2,15,8
1250,626,188,4.86,7,1
743,297,4461,4,12,2
1108,174,2502,5,12,22
1104,18,988,3.67,9,0
1126,45,302,0,0,4
1129,284,282,0,0,0
931,138,3456,5,3,2
515,119,11220,4.63,19,14
979,433,6998,4.38,13,6
967,419,13381,5,17,3
820,423,3924,4.5,8,4
990,96,1238,5,2,0
777,217,2925,4.25,4,6
770,379,1918,5,2,3
738,231,2174,4.33,3,0
515,119,2738,5,5,3
1122,247,2734,3,4,10
844,175,12470,4.43,14,8
1072,235,1259,2.9,10,9
1072,158,1009,3,4,2
1057,31,335,0,0,0
1080,49,468,5,3,3
1059,14,4263,4.67,9,10
1080,225,404,5,3,3
986,276,123848,4.67,24,11
1012,198,10807,5,5,6
1039,354,1385,5,5,1
772,448,5671,4.91,11,10
780,261,56552,4.06,17,7
562,650,35715,4.76,38,22
1011,179,2765,3.8,5,0
1027,199,13365,4.67,18,7
1011,597,2159,4.58,12,6
1091,22,4054,5,2,0
830,97,8278,5,13,10
900,339,621,4.5,2,0
686,62,10331,3.05,21,10
441,3,11127,3.67,9,4
1055,32,6947,4.67,15,15
625,177,7675,4.96,26,17
783,212,5668,4.67,9,12
852,430,11784,4.77,53,51
568,458,1188,3,2,0
745,101,5579,4.75,8,6
1164,38,1477,4.67,9,6
859,105,20167,4.83,6,19
1014,61,2673,1.33,6,0
1029,33,2700,5,1,2
1023,205,9921,4.94,16,20
859,171,993,5,2,8
1056,404,2247,4.17,6,2
1102,229,2723,4,6,7
772,291,1949,4.62,13,16
926,213,1307,4.25,8,6
1027,215,934,5,6,26
889,202,4277,4.71,31,12
1023,259,159,0,0,0
924,519,1186,2.33,3,0
838,150,855,5,3,8
760,180,1852,4.56,9,8
1105,213,2614,4.64,11,3
889,300,9709,4.96,53,36
1028,205,1224,5,3,4
1030,204,621,5,4,3
1187,46,10954,4.75,4,0
1187,279,15387,4.57,21,6
1186,63,1603,0,0,0
1061,410,129451,4.84,196,88
1187,56,2450,3.67,3,3
1187,284,3195,4.56,9,9
948,639,6770,2.14,7,2
1187,28,1439,1,2,1
0,389,7799,4,11,4
1221,15,6611,5,1,0
1098,64,2562,3,2,3
1222,32,4432,1.75,4,1
675,455,5696,2.36,11,9
517,160,3399,4.4,10,7
801,106,6101,4,11,4
850,124,3686,4.27,11,9
930,561,1272,4.2,5,1
1028,184,1540,5,4,1
869,137,2553,4.6,5,2
1255,503,352,3.67,6,2
1254,48,595,3.92,13,11
1255,506,49,5,1,0
1253,272,239,5,7,10
1251,217,1397,4.83,29,30
1250,66,728,4,7,10
1255,417,198,3.83,6,7
1254,31,113,3,2,0
1254,208,360,3.5,6,16
1251,377,806,4.54,35,41
1250,282,136,0,0,2
1255,77,93,4,2,2
1251,32,211,3,2,2
1249,272,798,4.47,17,16
1249,504,1151,3.62,8,9
1255,108,396,5,3,14
1255,636,702,4.83,23,23
1255,306,201,3.67,3,1
1254,212,51,0,0,2
1255,491,35,0,0,0
1254,538,366,2.2,5,8
1255,481,87,5,2,1
1254,395,93,5,2,0
1255,399,18,0,0,0
1254,467,52,5,4,4
1255,214,51,0,0,0
1254,268,64,0,0,0
1255,76,404,5,25,45
1250,169,548,3.5,4,7
1252,283,219,0,0,2
1249,61,728,3.6,10,10
1252,90,928,4.38,26,32
1252,279,191,1.8,5,1
1253,171,2999,5,2,0
1253,98,352,5,1,0
1252,325,258,0,0,7
1252,222,273,0,0,2
1253,96,153,4,2,0
1253,264,168,5,2,3
1252,90,51,5,2,1
1160,309,17578,4.63,134,132
1237,267,1500,4.23,13,11
1248,121,2077,4.38,21,24
1249,245,1309,3.93,28,24
1249,374,456,5,4,7
1251,473,638,5,11,12
1254,53,2398,4.65,31,38
1250,187,318,1,1,3
1249,544,358,3,3,1
1249,407,920,1.36,14,6
1250,148,479,4.25,4,11
1250,393,635,4.12,8,8
1249,256,852,3.71,7,3
1250,384,361,3,2,2
1249,228,521,4.73,11,10
1251,570,96,0,0,2
1252,119,361,3.67,3,2
1250,475,655,5,14,9
1253,390,33,0,0,0
1249,67,427,3.75,4,4
1249,148,437,2.86,7,5
1249,276,1673,4.3,30,32
1136,209,741,3,8,5
1251,388,470,4.33,3,9
1241,26,2453,4.33,6,11
1239,535,985,4,7,5
1251,66,438,4.83,6,8
1251,129,301,2.67,3,2
1254,234,87,0,0,2
1254,118,709,3.17,6,7
1249,339,914,4.14,7,11
1254,384,99,0,0,1
1254,18,224,5,1,0
1254,553,54,0,0,0
1254,481,20,5,1,1
1254,75,136,5,6,8
1253,315,145,0,0,2
1249,114,420,3,2,6
1253,190,326,5,8,8
1254,602,105,1,3,0
1254,356,241,5,5,8
1250,167,241,3,2,0
1251,304,192,3.67,3,2
1251,383,302,5,14,26
1251,518,508,4.7,10,6
1252,106,495,4.33,3,4
1250,315,377,4.56,9,14
,,,,,
1251,148,517,4.67,6,11
1251,286,417,4.25,4,4
1241,412,77,0,0,1
1241,364,915,4.5,8,6
1251,343,1804,0,0,20
1251,504,222,5,1,1
1251,378,135,0,0,0
1029,506,61044,3.69,181,675
1207,265,170,1,5,6
1255,80,182,1,1,4
1255,43,635,3.2,10,3
1218,214,418,4.67,3,1
1249,337,178,4,6,2
1255,73,210,3.33,3,2
1255,29,447,3,2,1
1133,232,7441,4.41,17,11
1231,637,74,0,0,0
1250,293,195,4.67,6,5
1190,616,3866,4.64,11,8
1248,384,418,5,2,7
1251,499,486,4.67,3,7
1252,214,1775,5,9,15
1251,122,310,5,6,2
1224,556,1129,5,9,12
1253,210,37,0,0,0
1179,347,186,5,2,2
1230,66,34,4,1,1
1249,71,418,4.33,6,8
1188,405,539,4,4,9
1253,54,226,5,1,4
1254,468,269,3.75,4,0
1250,489,279,3.57,7,3
1255,57,380,4,8,6
1255,82,41,5,1,0
1156,105,567,5,5,6
1242,18,277,3.25,16,41
1255,17,348,4,1,2
1253,27,171,3.72,18,16
1131,276,62,5,1,0
1255,57,26,0,0,1
1253,96,204,4.5,2,1
1249,414,366,4.58,12,15
1255,60,91,0,0,2
1254,154,168,4.38,8,10
1254,290,577,4.74,19,13
1255,17,100,0,0,0
1255,55,135,0,0,0
1251,654,5087,4.94,105,75
1253,115,75,0,0,0
1255,34,208,0,0,1
439,312,3564,4.72,18,18
1119,256,9541,4.86,58,50
1244,78,351,5,7,8
1245,150,289,5,20,11
1244,13,2529,5,4,2
1244,292,245,5,16,15
1244,203,784,5,13,14
1244,234,63,0,0,0
1244,325,587,4.96,28,22
1243,165,205,5,2,4
1244,192,122,5,5,4
1076,196,230,4.2,5,0
1244,248,133,4.57,7,2
1244,151,690,4.95,41,19
838,418,10088,4.67,55,28
1121,219,310,5,2,3
1245,118,26,5,1,0
1253,210,183,0,0,1
1212,45,30509,4.81,47,43
1244,192,401,5,6,2
797,179,2467,5,20,17
731,508,4089,4.45,11,17
751,49,7008,4.88,16,17
762,243,99727,4.78,143,49
1056,211,320,5,3,4
587,98,9911,3.52,27,10
609,514,15589,4.93,46,13
1059,9,1279,0,0,2
806,411,8313,4.31,16,22
375,308,171434,4.89,391,173
775,343,23744,4.58,105,97
1082,79,3889,4.57,7,8
1000,44,2561,4,7,5
1035,220,1397,4.6,5,7
676,49,6206,4.69,13,17
894,507,981,4.38,8,6
1253,197,88,1,2,1
1203,400,1355,3.67,12,15
1250,237,151,5,1,3
1252,194,50,4.2,5,2
1084,349,195,2.33,3,3
1176,337,60,0,0,0
1252,402,13,0,0,0
1176,271,63,0,0,0
1176,501,14,0,0,0
1187,108,18,0,0,0
1176,224,21,0,0,0
1187,79,18,0,0,0
1176,84,22,0,0,0
1036,188,1361,5,2,2
981,213,28479,4.89,80,46
903,196,8086,4.8,25,13
994,207,888,5,6,10
1127,108,20962,4.94,54,32
1179,146,75,0,0,1
779,111,4291,3,2,1
1058,383,8562,5,21,19
533,206,2147,4.2,5,5
1143,363,4833,0,0,0
903,225,8264,4.64,33,14
1107,270,2618,4.83,6,4
1077,162,632,2.75,4,8
1197,203,155,4,1,1
1214,244,109,5,1,0
904,362,4071,3.38,21,24
1216,121,239,2.83,6,6
1247,79,24,1,2,2
1249,192,73,5,1,5
1033,111,2728,3.23,13,21
1251,32,15033,5,20,40
1217,171,185,5,1,2
1206,323,320,5,1,1
1242,361,220,4.8,10,13
1027,335,1452,3,12,27
750,14,2995,4.2,49,45
1248,324,50,2.6,5,5
530,228,21185,4.94,63,33
1160,213,155,5,5,0
1246,352,171,3.67,3,4
873,109,1250,4.07,14,14
1086,203,513,3,2,1
770,289,1549,4.62,8,17
817,216,1565,4.2,5,2
887,179,540,4.75,8,11
639,255,23374,4.85,82,56
760,455,2611,4.33,12,32
883,188,17678,4.86,28,24
582,290,2210,4.96,24,9
853,134,1435,4.5,4,3
973,113,1358,5,4,2
896,481,6130,5,29,8
973,130,2134,5,4,15
505,29,2917,5,7,8
686,164,7920,4.85,33,31
517,262,2585,5,21,10
879,107,1390,4.5,6,3
970,155,1564,5,5,5
973,236,2134,5,6,4
555,160,3417,4.86,29,15
880,152,2318,5,2,5
853,235,2041,5,11,2
448,252,5554,4.69,16,11
965,254,312,0,0,2
1033,290,2549,4.94,16,9
1097,180,9109,3.08,12,16
1179,275,1296,2.67,12,17
1037,41,3871,1.46,26,50
1222,135,47,0,0,0
1252,23,19,5,1,1
1249,113,28646,3.86,29,18
1178,165,268,3,2,2
1229,204,1340,5,13,13
1103,197,1339,5,1,5
1228,99,4139,2.78,54,46
1137,10,2557,5,14,8
1176,141,1794,5,3,8
1246,148,7957,4.39,36,34
1107,71,3957,4.71,45,64
1122,114,18336,4.1,20,35
1251,211,3756,4.78,9,29
1194,206,3744,4.09,11,0
1105,5,1241,5,6,7
1140,79,903,4.89,9,26
1207,122,34690,4.21,33,84
1107,121,3486,3.18,11,9
1199,193,2146,4.86,14,18
1212,128,1243,4.73,11,10
1174,143,5095,4.74,19,23
1198,213,654,5,4,13
1194,246,137,5,1,1
1148,163,2521,4.91,11,19
1203,239,156,5,3,0
1113,412,6458,4.64,25,19
1089,291,9092,4.77,31,40
1212,195,1229,5,8,16
768,286,66420,4.89,246,155
1154,608,3741,4.83,18,26
1199,626,1533,4.29,14,7
1218,164,1002,5,5,6
1218,601,1636,4.93,14,18
1116,591,280,3.33,3,6
1130,339,102,5,1,3
818,78,13583,3.2,41,17
1237,91,75,4,2,1
704,170,11782,5,20,15
1069,599,2310,2.35,31,71
0,19,24374,4.42,12,3
578,87,89346,3.78,67,44
1129,401,173,5,1,1
1114,448,2475,3,8,0
1069,459,233,5,3,6
1156,363,232,5,1,3
1116,267,184,4,2,4
1145,110,26,5,1,0
1115,75,157,5,1,0
1111,151,907,5,5,0
1111,599,242,4.33,3,5
1137,228,3199,5,9,7
1244,297,53,4.43,7,1
1187,10,206,1,1,0
1103,600,8127,4.4,15,15
951,392,1145,4,5,5
1037,69,5408,5,22,8
1158,266,73,0,0,0
1214,230,242,5,1,0
1167,273,499,5,1,1
1030,232,7523,5,12,1
1052,312,5851,4.95,21,10
1078,262,917,5,1,0
1198,110,856,5,1,0
1013,102,44234,4.94,140,92
1056,306,2566,5,5,7
1251,492,65,0,0,0
1016,193,49849,4.82,130,94
1152,364,207,5,5,4
1184,386,812,4.6,5,3
1034,164,5123,5,10,9
1097,57,10194,4.95,42,26
1194,62,125,0,0,0
1162,189,346,5,1,0
1018,194,8551,4.82,34,30
1125,156,3539,4.67,3,0
1013,56,18406,5,42,67
1219,164,63,0,0,0
1185,57,3881,5,7,1
0,61,18598,4.25,153,39
1195,270,3712,5,16,12
1108,36,34222,4.38,13,16
1228,84,220,3.33,6,2
877,144,5737,3.89,18,15
1226,117,811,4,4,1
1162,150,5575,4.78,18,20
1226,55,2161,4.5,36,17
1224,142,4537,4.95,63,14
1227,430,213,3,1,1
1225,94,757,4.58,12,0
1242,230,248,5,2,1
1228,63,193,1,1,2
501,147,28586,4.63,141,49
556,55,7109,4.56,36,14
1249,236,382,3.67,3,10
1249,397,5976,4.72,64,81
1249,121,392,3.5,4,4
1249,131,160,4,2,0
1249,441,205,4,4,5
1249,167,65,0,0,1
1249,82,140,1.8,5,1
1249,289,1270,4.5,8,6
1249,458,247,4.2,5,0
1250,255,1673,3,6,0
1249,478,2165,4.2,5,6
1249,148,106,1,1,2
1249,24,418,0,0,4
1249,105,3935,4.2,5,12
1249,266,118,5,2,1
1249,286,154,4,1,1
1249,117,1057,5,1,4
1248,254,658,5,6,7
1242,124,837,4,7,6
892,168,29258,4.56,9,14
1226,36,1338,0,0,0
1234,98,924,3.4,5,7
1219,180,2470,4.53,17,33
866,163,3218,5,2,4
847,90,1261,0,0,0
1244,66,11229,4.25,8,30
1242,51,4389,3,4,3
1242,369,21240,4.95,19,14
1242,348,281,4.67,3,0
1242,18,569,3.4,5,4
1242,245,677,3.5,10,5
1242,122,613,3.67,3,8
1242,212,1847,5,4,5
1242,109,166,5,1,4
1242,317,641,3.67,3,3
1242,440,259,1,3,1
1254,240,322,2.67,6,5
1255,538,130,5,3,2
1240,185,27714,4.91,22,17
1255,156,66,0,0,1
1254,80,739,0,0,1
1254,105,75,5,1,1
1254,30,20,0,0,0
